activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(50,10)",0.0001,0.73,0.932,0.527,0.777,0.502,0.73,0.446,0.625,0.367,0.411,-0.014,0.496,0.462,0.625,0.389,0.417,0.013,0.507
relu,"(75,15)",0.1,0.648,0.613,0.686,0.605,0.373,0.65,0.531,0.4,0.589,0.23,-0.013,0.494,0.269,0.875,0.0,0.424,-0.3,0.438
relu,"(75,15)",0.01,0.878,0.932,0.824,0.885,0.762,0.878,0.546,0.7,0.478,0.487,0.167,0.589,0.538,0.875,0.389,0.538,0.264,0.632
relu,"(75,15)",0.001,0.919,0.906,0.931,0.918,0.839,0.919,0.546,0.475,0.578,0.392,0.05,0.526,0.538,0.5,0.556,0.4,0.051,0.528
relu,"(75,15)",0.0001,0.919,0.892,0.947,0.917,0.841,0.92,0.485,0.05,0.678,0.053,-0.298,0.364,0.462,0.0,0.667,0.0,-0.365,0.333
relu,"(100,20)",0.1,0.657,0.771,0.538,0.651,0.36,0.655,0.515,0.575,0.489,0.392,0.113,0.532,0.423,1.0,0.167,0.516,0.241,0.583
relu,"(100,20)",0.01,0.885,0.892,0.878,0.888,0.773,0.885,0.546,0.475,0.578,0.39,0.05,0.526,0.5,0.5,0.5,0.381,0.0,0.5
relu,"(100,20)",0.001,0.905,0.878,0.931,0.903,0.813,0.905,0.615,0.5,0.667,0.442,0.158,0.583,0.615,0.5,0.667,0.444,0.158,0.583
relu,"(100,20)",0.0001,0.926,0.879,0.973,0.922,0.857,0.926,0.515,0.125,0.689,0.137,-0.197,0.407,0.538,0.125,0.722,0.143,-0.167,0.424
relu,"(125,25)",0.1,0.5,0.8,0.2,0.533,0.0,0.5,0.385,0.8,0.2,0.412,0.0,0.5,0.308,1.0,0.0,0.471,0.0,0.5
relu,"(125,25)",0.01,0.818,0.852,0.783,0.821,0.645,0.818,0.615,0.35,0.733,0.352,0.089,0.542,0.654,0.5,0.722,0.471,0.216,0.611
relu,"(125,25)",0.001,0.858,0.892,0.825,0.864,0.72,0.859,0.577,0.325,0.689,0.325,0.024,0.507,0.538,0.25,0.667,0.25,-0.083,0.458
relu,"(125,25)",0.0001,0.831,0.906,0.757,0.844,0.674,0.831,0.508,0.425,0.544,0.346,-0.028,0.485,0.538,0.5,0.556,0.4,0.051,0.528
relu,"(150,30)",0.1,0.805,0.852,0.756,0.81,0.633,0.804,0.554,0.425,0.611,0.366,0.033,0.518,0.654,0.375,0.778,0.4,0.159,0.576
relu,"(150,30)",0.01,0.871,0.879,0.866,0.873,0.75,0.872,0.592,0.425,0.667,0.387,0.087,0.546,0.538,0.25,0.667,0.25,-0.083,0.458
relu,"(150,30)",0.001,0.851,0.892,0.811,0.858,0.706,0.852,0.538,0.45,0.578,0.373,0.025,0.514,0.615,0.625,0.611,0.5,0.219,0.618
relu,"(150,30)",0.0001,0.899,0.879,0.92,0.897,0.802,0.9,0.7,0.275,0.889,0.355,0.203,0.582,0.731,0.375,0.889,0.462,0.309,0.632
relu,"(175,35)",0.1,0.778,0.879,0.677,0.808,0.582,0.778,0.531,0.625,0.489,0.451,0.098,0.557,0.615,0.125,0.833,0.167,-0.053,0.479
relu,"(175,35)",0.01,0.851,0.865,0.837,0.853,0.705,0.851,0.554,0.55,0.556,0.428,0.099,0.553,0.577,0.5,0.611,0.421,0.104,0.556
relu,"(175,35)",0.001,0.899,0.879,0.92,0.896,0.802,0.9,0.585,0.55,0.6,0.446,0.139,0.575,0.577,0.5,0.611,0.421,0.104,0.556
relu,"(175,35)",0.0001,0.913,0.866,0.96,0.908,0.829,0.913,0.654,0.2,0.856,0.262,0.069,0.528,0.654,0.125,0.889,0.182,0.02,0.507
relu,"(200,40)",0.1,0.743,0.78,0.699,0.743,0.525,0.74,0.538,0.275,0.656,0.26,-0.069,0.465,0.462,0.625,0.389,0.417,0.013,0.507
relu,"(200,40)",0.01,0.844,0.905,0.783,0.853,0.694,0.844,0.554,0.525,0.567,0.415,0.085,0.546,0.577,0.5,0.611,0.421,0.104,0.556
relu,"(200,40)",0.001,0.791,0.892,0.69,0.81,0.595,0.791,0.577,0.575,0.578,0.453,0.142,0.576,0.538,0.5,0.556,0.4,0.051,0.528
relu,"(200,40)",0.0001,0.851,0.906,0.797,0.86,0.708,0.851,0.662,0.625,0.678,0.529,0.283,0.651,0.615,0.5,0.667,0.444,0.158,0.583
relu,"(225,45)",0.1,0.771,0.904,0.637,0.803,0.574,0.77,0.569,0.575,0.567,0.439,0.133,0.571,0.577,0.625,0.556,0.476,0.167,0.59
relu,"(225,45)",0.01,0.878,0.892,0.865,0.881,0.759,0.879,0.531,0.35,0.611,0.306,-0.037,0.481,0.538,0.5,0.556,0.4,0.051,0.528
relu,"(225,45)",0.001,0.831,0.864,0.798,0.837,0.667,0.831,0.615,0.625,0.611,0.501,0.219,0.618,0.615,0.625,0.611,0.5,0.219,0.618
relu,"(225,45)",0.0001,0.912,0.892,0.933,0.911,0.828,0.913,0.577,0.225,0.733,0.244,-0.046,0.479,0.577,0.25,0.722,0.267,-0.029,0.486
relu,"(250,50)",0.1,0.838,0.891,0.785,0.849,0.682,0.838,0.531,0.55,0.522,0.414,0.068,0.536,0.5,0.5,0.5,0.381,0.0,0.5
relu,"(250,50)",0.01,0.864,0.891,0.838,0.868,0.731,0.865,0.523,0.5,0.533,0.385,0.031,0.517,0.462,0.375,0.5,0.3,-0.116,0.438
relu,"(250,50)",0.001,0.872,0.877,0.866,0.873,0.754,0.871,0.585,0.575,0.589,0.462,0.154,0.582,0.654,0.5,0.722,0.471,0.216,0.611
relu,"(250,50)",0.0001,0.905,0.892,0.919,0.904,0.812,0.906,0.708,0.25,0.911,0.345,0.219,0.581,0.692,0.25,0.889,0.333,0.178,0.569
relu,"(275,55)",0.1,0.825,0.852,0.798,0.83,0.659,0.825,0.569,0.4,0.644,0.362,0.044,0.522,0.538,0.375,0.611,0.333,-0.013,0.493
relu,"(275,55)",0.01,0.892,0.879,0.907,0.89,0.79,0.893,0.546,0.425,0.6,0.363,0.023,0.512,0.577,0.5,0.611,0.421,0.104,0.556
relu,"(275,55)",0.001,0.871,0.865,0.879,0.871,0.746,0.872,0.592,0.6,0.589,0.475,0.175,0.594,0.615,0.625,0.611,0.5,0.219,0.618
relu,"(275,55)",0.0001,0.919,0.879,0.96,0.916,0.844,0.92,0.777,0.525,0.889,0.59,0.448,0.707,0.769,0.5,0.889,0.571,0.426,0.694
relu,"(300,60)",0.1,0.716,0.637,0.795,0.62,0.452,0.716,0.562,0.225,0.711,0.214,-0.061,0.468,0.462,0.25,0.556,0.222,-0.184,0.403
relu,"(300,60)",0.01,0.825,0.905,0.745,0.838,0.659,0.825,0.592,0.625,0.578,0.485,0.188,0.601,0.577,0.5,0.611,0.421,0.104,0.556
relu,"(300,60)",0.001,0.845,0.878,0.813,0.852,0.696,0.846,0.662,0.375,0.789,0.402,0.183,0.582,0.692,0.25,0.889,0.333,0.178,0.569
relu,"(300,60)",0.0001,0.878,0.906,0.85,0.882,0.761,0.878,0.638,0.525,0.689,0.471,0.204,0.607,0.654,0.5,0.722,0.471,0.216,0.611
relu,"(25,12)",0.1,0.857,0.904,0.808,0.866,0.722,0.856,0.523,0.425,0.567,0.351,-0.009,0.496,0.423,0.25,0.5,0.211,-0.234,0.375
