activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(125,25)",0.0001,0.605,0.6,0.609,0.454,0.189,0.604,0.477,0.375,0.522,0.307,-0.095,0.449,0.5,0.375,0.556,0.316,-0.065,0.465
relu,"(150,30)",0.1,0.52,0.6,0.49,0.414,0.084,0.545,0.5,0.35,0.567,0.302,-0.077,0.458,0.538,0.25,0.667,0.25,-0.083,0.458
relu,"(150,30)",0.01,0.672,0.467,0.757,0.425,0.211,0.612,0.554,0.375,0.633,0.341,0.008,0.504,0.615,0.25,0.778,0.286,0.03,0.514
relu,"(150,30)",0.001,0.662,0.533,0.714,0.471,0.241,0.624,0.638,0.25,0.811,0.297,0.083,0.531,0.692,0.25,0.889,0.333,0.178,0.569
relu,"(150,30)",0.0001,0.643,0.467,0.715,0.411,0.179,0.591,0.738,0.3,0.933,0.412,0.311,0.617,0.731,0.25,0.944,0.364,0.281,0.597
relu,"(175,35)",0.1,0.692,0.1,0.933,0.133,0.036,0.517,0.708,0.2,0.933,0.272,0.178,0.567,0.692,0.375,0.833,0.429,0.228,0.604
relu,"(175,35)",0.01,0.663,0.433,0.757,0.407,0.184,0.595,0.6,0.525,0.633,0.438,0.146,0.579,0.577,0.5,0.611,0.421,0.104,0.556
relu,"(175,35)",0.001,0.673,0.367,0.798,0.386,0.172,0.582,0.623,0.3,0.767,0.319,0.065,0.533,0.577,0.375,0.667,0.353,0.04,0.521
relu,"(175,35)",0.0001,0.663,0.267,0.824,0.299,0.109,0.545,0.623,0.1,0.856,0.133,-0.072,0.478,0.615,0.125,0.833,0.167,-0.053,0.479
relu,"(200,40)",0.1,0.711,0.0,1.0,0.0,0.0,0.5,0.708,0.125,0.967,0.189,0.147,0.546,0.692,0.0,1.0,0.0,0.0,0.5
relu,"(200,40)",0.01,0.653,0.433,0.744,0.389,0.174,0.589,0.669,0.375,0.8,0.4,0.179,0.588,0.731,0.375,0.889,0.462,0.309,0.632
relu,"(200,40)",0.001,0.596,0.533,0.621,0.429,0.146,0.577,0.638,0.225,0.822,0.266,0.048,0.524,0.692,0.25,0.889,0.333,0.178,0.569
relu,"(200,40)",0.0001,0.604,0.533,0.633,0.415,0.163,0.583,0.646,0.425,0.744,0.423,0.169,0.585,0.654,0.375,0.778,0.4,0.159,0.576
relu,"(225,45)",0.1,0.673,0.167,0.88,0.174,0.058,0.523,0.662,0.275,0.833,0.337,0.154,0.554,0.731,0.25,0.944,0.364,0.281,0.597
relu,"(225,45)",0.01,0.634,0.533,0.675,0.457,0.201,0.604,0.592,0.325,0.711,0.327,0.04,0.518,0.692,0.375,0.833,0.429,0.228,0.604
relu,"(225,45)",0.001,0.654,0.567,0.69,0.484,0.256,0.628,0.623,0.15,0.833,0.187,-0.033,0.492,0.5,0.0,0.722,0.0,-0.325,0.361
