Kernel,C,degree,gamma,coef0,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
poly,10,2,0.1,3,-12.0,14.3,2.5,0.776,0.11,0.979,0.185,0.202,0.544,0.787,0.158,0.987,0.255,0.285,0.572,0.759,0.105,0.967,0.174,0.14,0.536
poly,10,2,0.1,4,-13.2,15.9,2.7,0.776,0.123,0.975,0.201,0.207,0.549,0.787,0.158,0.987,0.255,0.285,0.572,0.759,0.105,0.967,0.174,0.14,0.536
poly,10,2,0.01,0,-10.7,3.0,-0.1,0.773,0.19,0.95,0.268,0.2,0.57,0.82,0.347,0.97,0.477,0.445,0.659,0.861,0.474,0.983,0.621,0.587,0.729
poly,10,2,0.01,1,-10.1,5.7,0.7,0.745,0.163,0.921,0.224,0.141,0.542,0.759,0.242,0.923,0.309,0.207,0.583,0.734,0.158,0.917,0.222,0.106,0.537
poly,10,2,0.01,2,-10.2,12.2,2.5,0.783,0.108,0.988,0.181,0.201,0.548,0.777,0.095,0.993,0.164,0.231,0.544,0.785,0.105,1.0,0.19,0.286,0.553
poly,10,2,0.01,3,-11.1,14.5,2.6,0.786,0.121,0.987,0.197,0.218,0.554,0.777,0.105,0.99,0.179,0.201,0.548,0.797,0.158,1.0,0.273,0.353,0.579
poly,10,2,0.01,4,-13.6,16.6,4.0,0.78,0.068,0.996,0.122,0.18,0.532,0.777,0.074,1.0,0.129,0.181,0.537,0.797,0.158,1.0,0.273,0.353,0.579
poly,10,2,0.001,0,-1.0,1.6,-0.7,0.793,0.247,0.958,0.355,0.31,0.602,0.772,0.253,0.937,0.345,0.26,0.595,0.772,0.263,0.933,0.357,0.264,0.598
poly,10,2,0.001,1,-3.0,5.2,1.2,0.795,0.122,1.0,0.21,0.298,0.561,0.77,0.084,0.987,0.14,0.143,0.535,0.734,0.0,0.967,0.0,-0.091,0.483
poly,10,2,0.001,2,-4.9,6.6,0.7,0.792,0.203,0.971,0.303,0.296,0.587,0.757,0.2,0.933,0.276,0.184,0.567,0.747,0.105,0.95,0.167,0.097,0.528
poly,10,2,0.001,3,-5.3,8.2,1.0,0.786,0.19,0.967,0.284,0.273,0.578,0.749,0.168,0.933,0.236,0.141,0.551,0.747,0.105,0.95,0.167,0.097,0.528
poly,10,2,0.001,4,-4.9,9.8,1.1,0.776,0.19,0.954,0.275,0.234,0.572,0.754,0.168,0.94,0.242,0.156,0.554,0.747,0.105,0.95,0.167,0.097,0.528
poly,10,3,0.1,0,-54.2,186.0,10.1,0.799,0.15,0.996,0.248,0.318,0.573,0.803,0.221,0.987,0.347,0.363,0.604,0.785,0.158,0.983,0.261,0.275,0.571
poly,10,3,0.1,1,-78.4,28.0,2.5,0.783,0.069,1.0,0.125,0.205,0.534,0.77,0.095,0.983,0.163,0.173,0.539,0.759,0.053,0.983,0.095,0.098,0.518
poly,10,3,0.1,2,-69.1,10.5,1.6,0.773,0.041,0.996,0.074,0.098,0.518,0.765,0.042,0.993,0.076,0.107,0.518,0.747,0.0,0.983,0.0,-0.064,0.492
poly,10,3,0.1,3,-59.0,2.3,1.6,0.767,0.028,0.992,0.052,0.065,0.51,0.787,0.116,1.0,0.202,0.29,0.558,0.785,0.105,1.0,0.19,0.286,0.553
poly,10,3,0.1,4,-54.1,2.6,0.9,0.738,0.07,0.942,0.111,0.049,0.506,0.805,0.284,0.97,0.407,0.372,0.627,0.81,0.368,0.95,0.483,0.409,0.659
poly,10,3,0.01,0,-2.9,18.0,-0.3,0.805,0.271,0.967,0.373,0.364,0.619,0.737,0.137,0.927,0.189,0.078,0.532,0.734,0.105,0.933,0.16,0.062,0.519
poly,10,3,0.01,1,-16.3,4.0,0.9,0.748,0.122,0.938,0.172,0.082,0.53,0.77,0.221,0.943,0.304,0.233,0.582,0.823,0.263,1.0,0.417,0.462,0.632
poly,10,3,0.01,2,-24.9,10.6,4.6,0.773,0.041,0.996,0.075,0.115,0.518,0.77,0.042,1.0,0.075,0.111,0.521,0.772,0.053,1.0,0.1,0.201,0.526
poly,10,3,0.01,3,-19.8,16.4,6.2,0.776,0.041,1.0,0.077,0.138,0.52,0.767,0.032,1.0,0.058,0.098,0.516,0.759,0.0,1.0,0.0,0.0,0.5
poly,10,3,0.01,4,-19.1,24.1,6.8,0.776,0.054,0.996,0.1,0.161,0.525,0.767,0.053,0.993,0.094,0.116,0.523,0.747,0.0,0.983,0.0,-0.064,0.492
poly,10,3,0.001,0,-1.0,1.5,-0.8,0.789,0.166,0.979,0.268,0.272,0.572,0.813,0.232,0.997,0.372,0.418,0.614,0.81,0.263,0.983,0.4,0.398,0.623
poly,10,3,0.001,1,-3.8,5.6,1.0,0.792,0.15,0.988,0.247,0.285,0.569,0.757,0.095,0.967,0.15,0.103,0.531,0.734,0.0,0.967,0.0,-0.091,0.483
poly,10,3,0.001,2,-5.3,10.9,2.0,0.792,0.149,0.988,0.243,0.279,0.568,0.772,0.095,0.987,0.158,0.175,0.541,0.747,0.053,0.967,0.091,0.043,0.51
poly,10,3,0.001,3,-8.8,16.4,2.6,0.789,0.135,0.988,0.224,0.272,0.561,0.775,0.105,0.987,0.176,0.192,0.546,0.734,0.0,0.967,0.0,-0.091,0.483
poly,10,3,0.001,4,-10.0,19.6,2.6,0.789,0.162,0.979,0.253,0.273,0.571,0.78,0.126,0.987,0.215,0.251,0.556,0.759,0.0,1.0,0.0,0.0,0.5
