activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(300,)",0.0001,0.799,0.344,0.916,0.406,0.308,0.63,0.815,0.527,0.89,0.542,0.427,0.709,0.755,0.455,0.833,0.435,0.279,0.644
relu,"(25,5)",0.1,0.789,0.531,0.855,0.507,0.376,0.693,0.74,0.6,0.776,0.487,0.333,0.688,0.736,1.0,0.667,0.611,0.542,0.833
relu,"(25,5)",0.01,0.818,0.436,0.915,0.49,0.402,0.676,0.777,0.509,0.848,0.483,0.344,0.678,0.698,0.364,0.786,0.333,0.141,0.575
relu,"(25,5)",0.001,0.799,0.347,0.915,0.413,0.328,0.631,0.777,0.509,0.848,0.485,0.347,0.678,0.83,0.636,0.881,0.609,0.501,0.759
relu,"(25,5)",0.0001,0.818,0.231,0.97,0.336,0.326,0.6,0.815,0.382,0.929,0.458,0.367,0.655,0.792,0.0,1.0,0.0,0.0,0.5
relu,"(50,10)",0.1,0.794,0.461,0.879,0.481,0.363,0.67,0.781,0.6,0.829,0.524,0.394,0.714,0.774,0.182,0.929,0.25,0.153,0.555
relu,"(50,10)",0.01,0.809,0.392,0.915,0.457,0.367,0.653,0.789,0.473,0.871,0.478,0.351,0.672,0.792,0.273,0.929,0.353,0.258,0.601
relu,"(50,10)",0.001,0.804,0.347,0.921,0.42,0.327,0.634,0.789,0.4,0.89,0.437,0.314,0.645,0.849,0.455,0.952,0.556,0.487,0.703
relu,"(50,10)",0.0001,0.794,0.25,0.933,0.306,0.249,0.592,0.785,0.4,0.886,0.432,0.307,0.643,0.755,0.364,0.857,0.381,0.229,0.61
relu,"(75,15)",0.1,0.794,0.483,0.873,0.487,0.363,0.678,0.785,0.636,0.824,0.555,0.43,0.73,0.774,0.364,0.881,0.4,0.264,0.622
relu,"(75,15)",0.01,0.785,0.344,0.897,0.392,0.28,0.621,0.785,0.545,0.848,0.51,0.376,0.697,0.868,0.818,0.881,0.72,0.643,0.85
