Index,position,attribute,F_val,p_val
8150,115,MAEA,10.498764,0.0012970684
1171,116,ATPAF1,10.464327,0.0013208207
1497,117,BRWD3,10.4516115,0.0013297021
3418,118,CUTA,10.435343,0.0013411542
14343,119,STXBP4,10.389897,0.0013736791
2054,120,CBWD1,10.343819,0.001407477
11280,121,PPFIBP1,10.264616,0.0014675598
10250,122,OSBPL10,10.263535,0.001468398
6850,123,INPP1,10.258915,0.001471984
6679,124,IGF2BP2,10.254079,0.0014757476
15620,125,TSFM,10.250252,0.0014787329
14122,126,SRGAP1,10.207241,0.0015127086
2766,127,CIRBP,10.191843,0.0015250642
15931,128,UCHL3,10.174619,0.0015390071
4613,129,ETV6,10.147255,0.0015614249
6280,130,HINT3,10.132223,0.0015738809
1659,131,C1D,10.131598,0.0015744007
7119,132,KCNB2,10.093673,0.0016062895
14791,133,TFAP2A,10.064486,0.0016312778
568,134,ANAPC1,10.058284,0.0016366381
8246,135,MAP3K1,10.031463,0.0016600275
14637,136,TBK1,9.978748,0.0017069934
4680,137,F5,9.969929,0.0017149823
1499,138,BSDC1,9.968744,0.0017160581
2316,139,CD320,9.968679,0.0017161171
13880,140,SOCS5,9.951051,0.0017322105
10658,141,PDLIM7,9.947937,0.001735069
12960,142,SDHAF2,9.923919,0.0017572804
13165,143,SGK2,9.892285,0.0017869765
5234,144,FOXK2,9.891994,0.0017872519
3353,145,CTBP1,9.878459,0.001800116
14608,146,TBC1D22B,9.855333,0.0018223132
2596,147,CERS4,9.835644,0.0018414318
12977,148,SEC14L2,9.820316,0.0018564562
7181,149,KCNMB2,9.81639,0.0018603248
14694,150,TCF7L2,9.805761,0.0018708388
5289,151,FRYL,9.802164,0.0018744109
9183,152,NCAPD2,9.792298,0.0018842435
13948,153,SPAG16,9.7713,0.0019053458
6929,154,IRF1,9.768129,0.0019085535
5401,155,GAD1,9.767898,0.0019087881
8821,156,MRPS25,9.762117,0.00191465
895,157,ARID1B,9.729671,0.0019478973
2502,158,CDYL,9.709653,0.0019687014
4816,159,FAM20C,9.699933,0.0019788845
6991,160,ITGAV,9.668731,0.0020119385
1965,161,CAP2,9.667182,0.0020135937
5121,162,FIP1L1,9.604043,0.002082268
990,163,ARVCF,9.594374,0.0020929936
8908,164,MTHFD1L,9.584753,0.0021037213
16095,165,USP49,9.580377,0.0021086198
14927,166,TINAG,9.571185,0.0021189456
15453,167,TRAPPC10,9.544345,0.0021493942
15191,168,TMEM65,9.543227,0.0021506718
3783,169,DENND5B,9.534476,0.0021607014
6716,170,IKBIP,9.523391,0.002173475
17223,171,ZP3,9.523156,0.0021737462
351,172,AGAP1,9.513796,0.0021845934
13142,173,SFT2D1,9.500499,0.0022000973
11976,174,RAD54B,9.480075,0.0022241296
7035,175,IZUMO1,9.469456,0.0022367307
14329,176,STX18,9.462953,0.0022444832
10234,177,ORAI2,9.461172,0.0022466106
616,178,ANKRD17,9.431416,0.00228247
4377,179,EIF5B,9.398452,0.002322876
15915,180,UBR5,9.372298,0.0023554524
15179,181,TMEM52,9.366738,0.0023624375
57,182,ABCC9,9.349764,0.0023838943
2337,183,CD59,9.33758,0.002399418
4472,184,ENTPD3,9.316284,0.0024267987
8499,185,METTL2B,9.31486,0.0024286406
13985,186,SPATA5,9.314836,0.0024286727
16847,187,ZNF33B,9.276556,0.0024787334
5249,188,FOXP4,9.230076,0.0025409355
16756,189,ZNF195,9.229137,0.0025422075
4906,190,FARSB,9.204713,0.0025755465
16522,191,ZBTB1,9.200725,0.0025810325
6885,192,INTU,9.192688,0.0025921236
13217,193,SHANK2,9.183214,0.0026052603
14018,194,SPG7,9.177163,0.0026136865
10922,195,PITPNC1,9.170571,0.0026228975
10352,196,PACS1,9.154603,0.0026453477
9279,197,NDUFV2,9.150182,0.0026515983
15716,198,TTC39C,9.147899,0.0026548319
4896,199,FANCL,9.146803,0.0026563853
4762,200,FAM160A1,9.145624,0.0026580573
3475,201,CYB5R4,9.141208,0.0026643316
16947,202,ZNF512,9.104901,0.0027164873
16728,203,ZNF136,9.103402,0.002718663
14616,204,TBC1D30,9.102021,0.002720669
4938,205,FBXL13,9.100659,0.0027226484
12482,206,RNF32,9.099789,0.0027239148
1780,207,C4orf33,9.089102,0.002739508
1397,208,BIRC6,9.0889635,0.0027397103
13947,209,SPAG11B,9.085972,0.002744092
12706,210,RSPO3,9.07659,0.00275788
16045,211,USE1,9.042373,0.0028087662
9409,212,NISCH,9.023302,0.002837542
11769,213,PTPN12,9.006225,0.0028635657
15599,214,TRPS1,9.001422,0.002870928
13860,215,SNX27,8.9986105,0.0028752468
7858,216,LLPH,8.982123,0.0029007075
11499,217,PRKD3,8.979412,0.0029049164
8504,218,METTL7A,8.974063,0.0029132387
1660,219,C1GALT1,8.970196,0.0029192702
10899,220,PILRB,8.96122,0.0029333194
1279,221,BARX2,8.954624,0.0029436867
12491,222,RNF5,8.947739,0.0029545496
6483,223,HSD17B2,8.938325,0.0029694673
16635,224,ZFC3H1,8.906936,0.003019767
10239,225,ORC4,8.906437,0.0030205734
2694,226,CHN1,8.906014,0.0030212565
1811,227,C6orf47,8.891001,0.0030456341
6719,228,IKBKG,8.887488,0.0030513662
15764,229,TUBB3,8.881581,0.0030610308
15778,230,TUFM,8.873875,0.003073687
3630,231,DCHS2,8.870771,0.0030787983
7309,232,KIF26B,8.8706665,0.003078971
5050,233,FEZ2,8.864009,0.0030899667
7701,234,LCLAT1,8.84996,0.0031133008
4961,235,FBXO22,8.832712,0.0031421953
3085,236,COQ10A,8.820754,0.0031623885
8853,237,MSH2,8.820608,0.0031626355
3555,238,D2HGDH,8.806794,0.0031861295
727,239,APAF1,8.794849,0.0032065879
4460,240,ENPEP,8.789401,0.003215964
11992,241,RALA,8.781051,0.0032303887
8303,242,MARK1,8.779137,0.0032337043
8627,243,MMACHC,8.775927,0.0032392729
16237,244,VSIG10,8.763785,0.0032604232
4548,245,ERCC8,8.759521,0.003267886
11485,246,PRKAR2A,8.739727,0.0033027506
4061,247,DPM2,8.72227,0.0033338151
2659,248,CHD6,8.704397,0.0033659285
6187,249,HDAC8,8.703606,0.003367358
8678,250,MOCS1,8.703085,0.0033682988
9163,251,NBAS,8.678713,0.0034126316
12091,252,RBFOX2,8.673016,0.0034230805
4199,253,E2F3,8.657897,0.0034509671
14109,254,SRBD1,8.652879,0.0034602745
16488,255,YPEL1,8.647706,0.0034698956
12312,256,RHBDL2,8.647571,0.0034701477
7150,257,KCNJ11,8.620359,0.003521214
10756,258,PGBD2,8.615921,0.0035296157
14507,259,TADA2A,8.598357,0.0035630655
404,260,AIF1L,8.59701,0.003565645
5232,261,FOXJ3,8.593789,0.0035718181
5644,262,GLA,8.591627,0.0035759683
7106,263,KCMF1,8.5889635,0.0035810883
10561,264,PCLO,8.586036,0.0035867244
2441,265,CDK13,8.573283,0.00361138
4758,266,FAM155A,8.573156,0.003611626
4943,267,FBXL18,8.571089,0.00361564
5957,268,GREB1L,8.569104,0.0036194974
4238,269,EDA,8.56336,0.0036306847
4106,270,DSCAML1,8.5632515,0.0036308968
15840,271,UBA6,8.561788,0.0036337539
9795,272,OCEL1,8.551786,0.0036533345
8120,273,LYSMD1,8.540566,0.0036754294
6394,274,HOXA3,8.531331,0.0036937185
5081,275,FGF5,8.530894,0.0036945858
4516,276,EPM2AIP1,8.508169,0.0037399973
9631,277,NRG4,8.506953,0.003742443
7203,278,KCTD1,8.49793,0.003760645
270,279,ADAP1,8.491586,0.0037734953
7281,280,KIAA1841,8.472001,0.003813451
14236,281,STAMBP,8.461809,0.0038344148
16594,282,ZCCHC7,8.461495,0.003835062
9445,283,NLK,8.460362,0.0038374
7779,284,LGR4,8.458175,0.003841919
3816,285,DGKZ,8.4541855,0.003850173
9501,286,NOL10,8.452923,0.0038527893
12473,287,RNF217,8.422633,0.0039160987
7131,288,KCNF1,8.390832,0.0039837123
16281,289,WDFY1,8.373775,0.0040204693
15862,290,UBE2E3,8.372278,0.00402371
2387,291,CDC42EP2,8.360093,0.0040502013
4529,292,EPSTI1,8.358011,0.0040547457
2583,293,CEP85,8.354367,0.0040627117
4481,294,EP400,8.333798,0.0041079777
6859,295,INPP5K,8.329352,0.0041178297
799,296,AQP3,8.327467,0.004122015
8273,297,MAP9,8.326627,0.0041238815
8814,298,MRPS18B,8.322466,0.0041331374
10798,299,PHF14,8.307924,0.0041656527
11858,300,QPCTL,8.276305,0.004237259
12310,301,RHBDF2,8.270676,0.004250139
9416,302,NKAP,8.264853,0.0042635044
2962,303,CNOT6,8.260268,0.0042740568
527,304,ALS2,8.254661,0.0042870007
6265,305,HIBCH,8.244396,0.004310798
204,306,ACTR3B,8.2388935,0.004323611
2576,307,CEP57L1,8.224124,0.0043581952
4666,308,EZH2,8.21343,0.0043834117
15828,309,U2AF1,8.204932,0.0044035576
4361,310,EIF4E,8.193584,0.0044306065
13005,311,SEH1L,8.193319,0.0044312403
15580,312,TRNT1,8.153307,0.0045279926
16579,313,ZC3H8,8.143801,0.004551295
4067,314,DPP7,8.12819,0.0045898287
8007,315,LRRC66,8.120449,0.0046090595
16507,316,YY2,8.119549,0.0046113017
15314,317,TNNC1,8.118561,0.004613763
7743,318,LEMD3,8.118255,0.0046145264
491,319,ALG11,8.115839,0.0046205516
3183,320,CPZ,8.114623,0.0046235877
912,321,ARL15,8.111831,0.0046305675
15401,322,TPM1,8.090306,0.0046847337
11949,323,RABGAP1L,8.081337,0.0047074957
11660,324,PSMA6,8.080587,0.004709403
9475,325,NME7,8.073601,0.0047272197
15885,326,UBE2V2,8.069834,0.004736854
5478,327,GATA4,8.068931,0.004739167
2417,328,CDH2,8.060978,0.0047595836
1340,329,BCL9L,8.055187,0.004774506
10954,330,PKNOX1,8.054535,0.00477619
11502,331,PRKG2,8.049084,0.004790287
14600,332,TBC1D15,8.019719,0.0048669586
1931,333,CALML4,8.012925,0.004884876
3479,334,CYBRD1,7.987253,0.0049531916
1710,335,C1orf52,7.9855013,0.0049578887
12008,336,RANBP10,7.98548,0.0049579465
4905,337,FARSA,7.9774,0.004979671
9285,338,NECAB3,7.97395,0.0049889763
1867,339,CAB39,7.9708853,0.0049972576
17181,340,ZNF827,7.9690957,0.0050021
4687,341,FA2H,7.939176,0.0050837714
14311,342,STRADA,7.937045,0.00508964
8660,343,MMS22L,7.931773,0.005104189
11869,344,R3HCC1,7.929313,0.0051109926
11028,345,PLEKHA6,7.9280496,0.0051144906
8663,346,MND1,7.9204507,0.0051355795
12510,347,ROCK2,7.9152274,0.005150127
11819,348,PUS1,7.9114738,0.0051606074
8265,349,MAP4K4,7.907012,0.0051730936
1891,350,CACNA2D2,7.904098,0.005181265
16763,351,ZNF207,7.9003186,0.0051918826
4412,352,ELOVL6,7.891546,0.005216615
2019,353,CASP8,7.889472,0.005222479
12088,354,RBCK1,7.8824735,0.0052423184
13309,355,SKAP1,7.871779,0.0052727843
3213,356,CRHBP,7.845756,0.005347677
5278,357,FRMD5,7.844837,0.005350341
3683,358,DDX10,7.8377767,0.0053708586
481,359,ALDH6A1,7.837506,0.0053716474
13722,360,SMAD2,7.8294554,0.0053951438
12328,361,RHOF,7.8257537,0.0054059825
1292,362,BBS1,7.8213043,0.0054190406
5895,363,GPR35,7.807179,0.00546071
4309,364,EHBP1,7.798655,0.005486014
9539,365,NOX5,7.7975645,0.0054892595
366,366,AGGF1,7.768555,0.005576332
1696,367,C1orf159,7.7617226,0.0055970456
17051,368,ZNF638,7.7602453,0.005601534
2447,369,CDK19,7.7574496,0.005610039
2880,370,CLMP,7.747293,0.005641049
7846,371,LIPI,7.7456317,0.005646138
11158,372,POLA1,7.741754,0.0056580342
6223,373,HEPH,7.7373214,0.0056716646
8892,374,MTA1,7.7213397,0.0057210885
14323,375,STX10,7.72031,0.005724287
9186,376,NCAPG2,7.71491,0.0057410966
3354,377,CTBP2,7.709799,0.005757053
1496,378,BRWD1,7.6964984,0.0057987883
7292,379,KIF16B,7.687184,0.005828201
13087,380,SERPINE2,7.6844172,0.0058369664
4746,381,FAM135A,7.6785345,0.0058556497
5074,382,FGF2,7.675494,0.00586533
2097,383,CCDC130,7.67401,0.005870062
1983,384,CAPRIN2,7.6705008,0.005881264
9146,385,NAPEPLD,7.661483,0.0059101526
8895,386,MTAP,7.651958,0.0059408234
16311,387,WDR46,7.649531,0.0059486646
4745,388,FAM133B,7.6481657,0.00595308
11698,389,PSME4,7.63254,0.0060038557
2879,390,CLMN,7.6313944,0.006007597
2568,391,CEP192,7.6216316,0.006039567
17252,392,ZSWIM6,7.62088,0.006042035
16800,393,ZNF263,7.6018667,0.006104826
7289,394,KIF13B,7.5715003,0.006206501
15913,395,UBR3,7.556486,0.0062574116
5810,396,GPANK1,7.554621,0.006263765
9199,397,NCKAP1,7.5442758,0.006299131
12000,398,RALGPS2,7.5311494,0.0063442984
14763,399,TES,7.528857,0.0063522197
13559,400,SLC37A3,7.5259676,0.00636222
5966,401,GRIA3,7.5155983,0.006398239
1485,402,BRIP1,7.5141597,0.006403253
9059,403,MYO5B,7.50522,0.006434499
424,404,AKAP1,7.500088,0.006452506
15813,405,TXNRD1,7.4925704,0.0064789793
336,406,AEBP2,7.49057,0.006486042
6289,407,HIVEP1,7.4796495,0.006524739
6,408,A4GNT,7.472924,0.006548688
10334,409,P4HA2,7.4716983,0.006553063
14748,410,TEK,7.4709673,0.0065556737
14797,411,TFB1M,7.4671183,0.0065694354
16775,412,ZNF223,7.438063,0.0066742823
5212,413,FOXD1,7.427569,0.0067125717
14164,414,SS18,7.424451,0.0067239916
16506,415,YY1AP1,7.423948,0.0067258356
11598,416,PRRX1,7.4216194,0.006734379
11433,417,PRDM11,7.418941,0.00674422
3660,418,DCXR,7.41815,0.0067471294
1072,419,ATF6B,7.3846025,0.0068717045
4083,420,DPYSL2,7.384093,0.0068736156
3840,421,DHX15,7.382358,0.0068801227
14110,422,SRC,7.3805223,0.0068870164
15876,423,UBE2O,7.3769045,0.0069006216
10892,424,PIK3R2,7.371522,0.006920915
1103,425,ATOX1,7.3683734,0.006932814
14886,426,THUMPD2,7.3619967,0.006956978
16167,427,VEGFC,7.360327,0.0069633196
4209,428,EARS2,7.3562307,0.006978901
15464,429,TRAPPC9,7.3433533,0.0070281206
1038,430,ASPG,7.33082,0.0070763663
9397,431,NINL,7.319988,0.0071183383
12346,432,RIC8B,7.3197894,0.0071191094
1076,433,ATG10,7.318183,0.0071253562
1301,434,BCAM,7.3179255,0.007126358
16398,435,WRN,7.316305,0.0071326653
7621,436,L3MBTL3,7.309904,0.007157639
6659,437,IFT122,7.2959523,0.0072123837
2384,438,CDC42BPB,7.295909,0.0072125546
7042,439,JAK2,7.295708,0.0072133453
15738,440,TTLL5,7.2894244,0.0072381455
12368,441,RINT1,7.2858925,0.007252123
6461,442,HS3ST1,7.2794104,0.0072778487
1302,443,BCAN,7.274509,0.007297363
13014,444,SEMA3A,7.267442,0.007325593
1550,445,BZW1,7.266554,0.007329149
12841,446,SART3,7.2631125,0.007342944
854,447,ARHGAP32,7.259784,0.007356311
2371,448,CDC20B,7.2566195,0.0073690447
7619,449,L3MBTL1,7.2393785,0.007438812
12469,450,RNF213,7.2327065,0.0074659917
10604,451,PDE10A,7.229855,0.0074776392
3875,452,DISC1,7.2219605,0.0075099836
15294,453,TNFSF12-TNFSF13,7.2188287,0.007522855
2961,454,CNOT4,7.2106185,0.0075567043
17174,455,ZNF81,7.204955,0.007580145
7270,456,KIAA1143,7.2046857,0.007581262
4125,457,DTNBP1,7.1945953,0.007623217
15864,458,UBE2F-SCLY,7.188659,0.0076480103
3414,459,CUL4B,7.18634,0.0076577202
6327,460,HMGA2,7.177353,0.0076954626
6159,461,HBS1L,7.153527,0.007796453
11829,462,PWP2,7.147807,0.007820899
9207,463,NCOA2,7.1360574,0.007871363
8725,464,MPP6,7.1344986,0.007878084
9477,465,NMI,7.1335306,0.00788226
13320,466,SLAIN2,7.131261,0.00789206
8264,467,MAP4K3,7.1166153,0.007955602
16809,468,ZNF277,7.116516,0.0079560345
14331,469,STX1A,7.114012,0.007966953
4202,470,E2F6,7.1104903,0.007982332
14950,471,TLK1,7.107956,0.00799342
9057,472,MYO3B,7.104287,0.008009498
11722,473,PTCH2,7.1010633,0.008023654
2091,474,CCDC122,7.0919576,0.008063775
6066,475,GTF3C3,7.088722,0.00807808
9653,476,NSFL1C,7.0753407,0.008137523
15096,477,TMEM179B,7.074416,0.008141646
13407,478,SLC22A23,7.065123,0.008183214
2726,479,CHRNE,7.0647445,0.008184913
6765,480,IL1RL2,7.0561056,0.008223758
6272,481,HIGD1B,7.0542536,0.00823211
4578,482,ESCO1,7.0486336,0.008257509
10676,483,PDZD3,7.0432057,0.008282116
9299,484,NEIL2,7.040132,0.008296084
15844,485,UBAP1,7.0306997,0.008339099
15099,486,TMEM182,7.027009,0.008355992
8668,487,MOAP1,7.018245,0.008396247
1430,488,BMPR2,7.003615,0.008463894
16083,489,USP37,6.988265,0.008535471
1463,490,BPTF,6.9835467,0.008557596
12364,491,RIN2,6.969915,0.008621854
6963,492,ISM1,6.9690647,0.008625878
11359,493,PPP1R8,6.960753,0.00866532
5141,494,FKBPL,6.9594874,0.008671341
5512,495,GCKR,6.9507046,0.008713251
8229,496,MAOA,6.9407125,0.008761183
11381,497,PPP3R1,6.9311414,0.00880735
5952,498,GRB10,6.91806,0.008870855
3892,499,DLG3,6.910687,0.008906854
11681,500,PSMD1,6.885958,0.009028697
12116,501,RBM33,6.884849,0.009034202
15423,502,TPST1,6.8840227,0.009038306
16058,503,USP14,6.8819957,0.00904838
13609,504,SLC48A1,6.880076,0.009057932
15121,505,TMEM203,6.875411,0.009081186
14450,506,SYNJ2BP-COX16,6.8737974,0.009089244
15987,507,ULK3,6.870836,0.009104052
10432,508,PARP12,6.8700666,0.009107902
1285,509,BAZ1A,6.8688664,0.0091139125
3979,510,DNAJC2,6.862135,0.009147701
11793,511,PTPRK,6.8506474,0.009205659
17264,512,ZZZ3,6.848371,0.009217189
17167,513,ZNF8,6.839619,0.009261656
1763,514,C3orf18,6.837895,0.009270442
14543,515,TANC2,6.835178,0.009284305
4331,516,EIF2AK2,6.8342705,0.00928894
15078,517,TMEM161B,6.8322825,0.009299101
16980,518,ZNF556,6.8301954,0.009309783
883,519,ARHGEF3,6.820477,0.009359684
4616,520,EVC2,6.8170795,0.009377195
8866,521,MSMB,6.81515,0.009387155
4804,522,FAM193A,6.812805,0.009399272
11159,523,POLA2,6.8105087,0.009411155
3868,524,DIP2C,6.809746,0.009415106
9538,525,NOX4,6.8051105,0.00943915
8344,526,MBD5,6.797847,0.009476954
12497,527,RNGTT,6.782525,0.009557209
10716,528,PEX14,6.7823424,0.00955817
6622,529,IFI44L,6.7806425,0.009567118
14437,530,SYNCRIP,6.778775,0.009576957
7362,531,KLF7,6.7778125,0.009582033
7615,532,KYNU,6.776995,0.009586345
11754,533,PTK2,6.772047,0.009612495
7956,534,LRRC1,6.7705026,0.009620672
11920,535,RAB3GAP2,6.7696886,0.009624984
3964,536,DNAJB6,6.7622094,0.009664701
13152,537,SFXN1,6.75907,0.009681423
1305,538,BCAR1,6.7549157,0.009703596
2110,539,CCDC150,6.7506547,0.009726393
15106,540,TMEM186,6.7493052,0.009733624
17163,541,ZNF791,6.7415357,0.009775367
15975,542,UGT8,6.7367435,0.009801204
14981,543,TM7SF2,6.7208066,0.009887638
14523,544,TAF4,6.7177105,0.00990452
16298,545,WDR27,6.717004,0.009908377
12839,546,SARS2,6.7166576,0.009910268
7954,547,LRPPRC,6.6995406,0.010004196
8054,548,LSM6,6.6988354,0.010008086
17140,549,ZNF768,6.6955767,0.010026079
690,550,ANXA4,6.688838,0.010063392
15571,551,TRMT2A,6.679219,0.010116903
6224,552,HEPHL1,6.6756124,0.01013704
15366,553,TOR2A,6.6736894,0.010147795
5761,554,GNRH1,6.672639,0.0101536745
5071,555,FGF17,6.6499453,0.010281558
2473,556,CDKN2A,6.6461916,0.010302871
9081,557,MYSM1,6.6384726,0.01034684
15462,558,TRAPPC6B,6.6384296,0.010347085
103,559,ABTB2,6.6265125,0.010415348
11552,560,PRPF8,6.6252246,0.010422754
5114,561,FIG4,6.6249437,0.010424369
10847,562,PIAS2,6.622765,0.01043691
3969,563,DNAJC10,6.622732,0.0104371
9028,564,MYL4,6.6171565,0.010469267
13788,565,SMYD4,6.6168942,0.010470782
12324,566,RHOBTB2,6.6122193,0.010497835
15952,567,UGGT2,6.6118994,0.01049969
6381,568,HOMER3,6.6099253,0.010511137
9757,569,NUS1,6.607634,0.01052444
4546,570,ERCC6,6.605073,0.01053933
16612,571,ZDHHC20,6.6011443,0.010562212
12478,572,RNF24,6.5915403,0.010618367
12608,573,RPRD1B,6.585381,0.0106545435
4890,574,FANCC,6.585329,0.010654849
16064,575,USP19,6.582318,0.010672582
13792,576,SNAI3,6.5809,0.010680941
126,577,ACBD6,6.578921,0.0106926225
8535,578,MFSD8,6.5751696,0.010714799
14006,579,SPDYE5,6.5710692,0.010739093
5783,580,GOLGA8G,6.568409,0.010754885
2307,581,CD2BP2,6.5524855,0.010849912
1000,582,ASB10,6.540846,0.010919921
14173,583,SSH1,6.5358415,0.010950164
3841,584,DHX16,6.52034,0.011044393
4717,585,FAM107B,6.506413,0.011129764
6183,586,HDAC4,6.4995217,0.011172258
15544,587,TRIM66,6.49337,0.011210333
1805,588,C6orf136,6.4921722,0.011217762
10015,589,OR4A15,6.488383,0.011241298
10921,590,PITPNB,6.4857755,0.011257523
5918,591,GPR89A,6.475185,0.01132367
6469,592,HS6ST2,6.468408,0.011366207
11018,593,PLD5,6.457995,0.0114318915
15730,594,TTL,6.448728,0.011490674
13123,595,SF3A1,6.4441676,0.011519716
14722,596,TDO2,6.443732,0.011522495
9437,597,NKX6-2,6.4361763,0.01157079
2546,598,CENPI,6.4359875,0.011572
12292,599,RGS20,6.425742,0.011637828
3856,600,DIABLO,6.4251347,0.011641744
6493,601,HSDL2,6.4225297,0.011658548
12284,602,RGS12,6.4210896,0.0116678495
4422,603,EME2,6.40711,0.011758535
11470,604,PRIM1,6.4065695,0.011762057
9797,605,OCIAD2,6.3971467,0.011823612
16218,606,VPS37A,6.39513,0.011836829
7294,607,KIF18A,6.3931174,0.011850035
15704,608,TTC3,6.3900223,0.011870373
14885,609,THUMPD1,6.385274,0.011901645
15932,610,UCHL5,6.3772907,0.011954413
8489,611,METTL15,6.377048,0.011956021
1251,612,BACE1,6.368465,0.012013031
16432,613,XKR4,6.3638215,0.01204399
