activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(175,35)",0.0001,0.912,0.967,0.858,0.917,0.83,0.912,0.704,0.495,0.77,0.445,0.249,0.632,0.709,0.474,0.783,0.439,0.245,0.629
relu,"(200,40)",0.1,0.5,0.2,0.8,0.133,0.0,0.5,0.656,0.2,0.8,0.078,0.0,0.5,0.709,0.105,0.9,0.148,0.007,0.503
relu,"(200,40)",0.01,0.912,0.962,0.862,0.917,0.83,0.912,0.681,0.432,0.76,0.395,0.182,0.596,0.684,0.421,0.767,0.39,0.179,0.594
relu,"(200,40)",0.001,0.935,0.967,0.904,0.937,0.873,0.935,0.711,0.432,0.8,0.417,0.227,0.616,0.709,0.368,0.817,0.378,0.189,0.593
relu,"(200,40)",0.0001,0.925,0.967,0.883,0.928,0.854,0.925,0.732,0.495,0.807,0.469,0.292,0.651,0.722,0.421,0.817,0.421,0.238,0.619
relu,"(225,45)",0.1,0.894,0.95,0.838,0.9,0.793,0.894,0.663,0.421,0.74,0.372,0.149,0.581,0.671,0.684,0.667,0.5,0.304,0.675
relu,"(225,45)",0.01,0.923,0.962,0.883,0.926,0.849,0.923,0.678,0.432,0.757,0.392,0.178,0.594,0.658,0.316,0.767,0.308,0.081,0.541
relu,"(225,45)",0.001,0.925,0.975,0.875,0.928,0.855,0.925,0.689,0.347,0.797,0.35,0.146,0.572,0.671,0.316,0.783,0.316,0.099,0.55
relu,"(225,45)",0.0001,0.921,0.975,0.867,0.925,0.847,0.921,0.689,0.368,0.79,0.362,0.157,0.579,0.658,0.263,0.783,0.27,0.047,0.523
relu,"(250,50)",0.1,0.894,0.946,0.842,0.899,0.792,0.894,0.633,0.453,0.69,0.372,0.129,0.571,0.62,0.316,0.717,0.286,0.031,0.516
relu,"(250,50)",0.01,0.919,0.971,0.867,0.923,0.842,0.919,0.676,0.379,0.77,0.36,0.144,0.574,0.658,0.316,0.767,0.308,0.081,0.541
