Index,position,attribute,meanImp,medianImp,minImp,maxImp,normHits,decision
16973,29,ZNF548,0.816835164662102,1.00100150250438,-1.00627704476757,2.34306952785898,0,Rejected
9795,30,OCEL1,0.797621367204109,1.00100150250438,-1.00100150250438,1.61048022172228,0,Rejected
6282,31,HIP1R,0.76562536096681,1.00100150250438,-1.00100150250438,2.03857502928495,0,Rejected
14329,32,STX18,0.736330845797294,1.00100150250438,-1.39116534370184,1.62097793200797,0,Rejected
10234,33,ORAI2,0.730012347556262,1.00100150250438,-1.00100150250438,2.0628999924065,0,Rejected
16095,34,USP49,0.711849394565382,1.00100150250438,-0.467927638481289,1.71190697620495,0,Rejected
2275,35,CD14,0.708173284813057,1.00100150250438,-1.00100150250438,1.70262032506468,0,Rejected
7909,36,LPCAT2,0.700391139786636,1.00100150250438,-0.249657828771073,1.41704254615181,0,Rejected
15487,37,TRIM13,0.698272693103793,1.00100150250438,-1.00100150250438,1.65331032705646,0,Rejected
3983,38,DNAJC25,0.69043422927863,1.00100150250438,-1.73476505890142,1.71422236067064,0,Rejected
3892,39,DLG3,0.688874190594832,1.00100150250438,-1.00100150250438,1.54926899260094,0,Rejected
8121,40,LYSMD2,0.681241497368475,1.00100150250438,-1.38583136086461,1.75362639013286,0,Rejected
5512,41,GCKR,0.674029523584636,1.00100150250438,0,1.63083536588016,0,Rejected
16287,42,WDR1,0.673008733297155,0.634322644850518,-1.06337973004909,2.23457961490528,0,Rejected
7098,43,KBTBD12,0.652991862617404,1.00100150250438,-1.00100150250438,1.54332871030226,0,Rejected
11980,44,RAD9B,0.647630866017826,1.00100150250438,-1.32946877733814,1.91464111766694,0,Rejected
12823,45,SAMHD1,0.642146099345762,1.00100150250438,-1.00100150250438,1.70034992124986,0,Rejected
4199,46,E2F3,0.63771329744869,1.00100150250438,0,1.62998122509104,0,Rejected
1665,47,C1QC,0.629519280244923,0.943376216486277,-1.41589698210799,1.80409238582527,0,Rejected
7950,48,LRP5L,0.629189064772576,1.00100150250438,-1.00100150250438,1.65311891466165,0,Rejected
14356,49,SUFU,0.619307448661922,1.00100150250438,-1.31258679298117,1.72474273223615,0,Rejected
1761,50,C3AR1,0.601058051005455,1.00100150250438,-1.00100150250438,1.81942320707711,0,Rejected
8258,51,MAP3K7,0.599379953647381,0.653696807225783,-1.36316475381353,1.65125994565115,0,Rejected
1707,52,C1orf35,0.598575250930004,1.00100150250438,-1.00100150250438,1.66385148670178,0,Rejected
6577,53,IAPP,0.590170798642178,1.00100150250438,-1.00100150250438,1.41701472308177,0,Rejected
8549,54,MGP,0.587743666084971,1.00100150250438,-1.00100150250438,1.41664464879461,0,Rejected
16507,55,YY2,0.578273925325496,1.00100150250438,-1.00100150250438,1.41696826142321,0,Rejected
2968,56,CNPY1,0.56914350175364,0.977148487161845,-0.14317109450804,1.2107336933006,0,Rejected
3791,57,DERA,0.56796323776722,0.924231199098411,-1.33484257608711,1.92796189244768,0,Rejected
13033,58,SEMA7A,0.564192218173855,0.920053924064891,-0.947498016117712,1.41701888774383,0,Rejected
1642,59,C18orf25,0.563925609460227,1.00100150250438,-1.00100150250438,1.41692235141541,0,Rejected
779,60,APOL3,0.563674584499613,0.775358808484452,-1.00100150250438,2.32388923635903,0,Rejected
10622,61,PDE6D,0.561629998199254,1.00100150250438,-1.3718798608452,1.41705050316284,0,Rejected
137,62,ACIN1,0.560328401872094,1.00100150250438,-1.41476602746242,1.52909193524551,0,Rejected
