Kernel,C,degree,gamma,coef0,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
poly,10,2,0.1,0,-6.3,7.3,0.1,0.952,0.952,0.952,0.952,0.904,0.952,0.834,0.6,0.895,0.596,0.493,0.748,0.811,0.545,0.881,0.545,0.426,0.713
poly,10,2,0.1,1,-3.0,3.5,0.3,0.952,0.952,0.952,0.951,0.904,0.952,0.849,0.582,0.919,0.609,0.52,0.75,0.868,0.545,0.952,0.632,0.564,0.749
poly,10,2,0.1,2,-3.4,3.5,0.2,0.952,0.964,0.94,0.952,0.904,0.952,0.819,0.582,0.881,0.566,0.455,0.731,0.83,0.545,0.905,0.571,0.467,0.725
poly,10,2,0.1,3,-3.9,3.9,0.3,0.946,0.958,0.934,0.946,0.892,0.946,0.804,0.545,0.871,0.533,0.41,0.708,0.811,0.545,0.881,0.545,0.426,0.713
poly,10,2,0.1,4,-4.3,4.4,0.2,0.94,0.964,0.916,0.942,0.881,0.94,0.777,0.545,0.838,0.501,0.364,0.692,0.811,0.545,0.881,0.545,0.426,0.713
poly,10,2,0.01,0,-3.8,7.1,0.0,0.943,0.939,0.946,0.942,0.887,0.943,0.815,0.545,0.886,0.55,0.434,0.716,0.811,0.455,0.905,0.5,0.388,0.68
poly,10,2,0.01,1,-5.4,5.3,0.3,0.937,0.958,0.916,0.939,0.875,0.937,0.758,0.509,0.824,0.464,0.312,0.666,0.774,0.545,0.833,0.5,0.357,0.689
poly,10,2,0.01,2,-5.9,6.6,0.5,0.916,0.928,0.904,0.917,0.833,0.916,0.758,0.436,0.843,0.425,0.274,0.64,0.755,0.455,0.833,0.435,0.279,0.644
poly,10,2,0.01,3,-6.6,8.4,0.5,0.91,0.928,0.892,0.911,0.822,0.91,0.743,0.455,0.819,0.416,0.258,0.637,0.774,0.545,0.833,0.5,0.357,0.689
poly,10,2,0.01,4,-7.8,10.2,0.5,0.907,0.928,0.886,0.909,0.816,0.907,0.751,0.491,0.819,0.446,0.292,0.655,0.774,0.545,0.833,0.5,0.357,0.689
poly,10,2,0.001,0,-0.5,1.2,0.1,0.723,0.675,0.775,0.671,0.513,0.725,0.683,0.527,0.724,0.406,0.276,0.626,0.811,0.182,0.976,0.286,0.277,0.579
poly,10,2,0.001,1,-5.4,4.6,0.2,0.882,0.892,0.873,0.883,0.767,0.883,0.762,0.545,0.819,0.487,0.339,0.682,0.774,0.455,0.857,0.455,0.312,0.656
poly,10,2,0.001,2,-7.8,5.2,0.1,0.895,0.922,0.867,0.897,0.793,0.895,0.713,0.473,0.776,0.407,0.228,0.624,0.717,0.455,0.786,0.4,0.221,0.62
poly,10,2,0.001,3,-8.2,6.2,-0.0,0.895,0.928,0.861,0.898,0.792,0.895,0.709,0.491,0.767,0.412,0.232,0.629,0.698,0.455,0.762,0.385,0.195,0.608
poly,10,2,0.001,4,-9.6,6.6,-0.2,0.895,0.958,0.831,0.902,0.796,0.895,0.698,0.564,0.733,0.436,0.256,0.648,0.642,0.455,0.69,0.345,0.124,0.573
poly,10,3,0.1,0,-8.5,8.9,-0.4,0.931,0.958,0.904,0.932,0.863,0.931,0.785,0.527,0.852,0.501,0.367,0.69,0.755,0.455,0.833,0.435,0.279,0.644
poly,10,3,0.1,1,-4.2,4.9,-0.1,0.952,0.976,0.928,0.953,0.905,0.952,0.823,0.636,0.871,0.598,0.488,0.754,0.83,0.636,0.881,0.609,0.501,0.759
poly,10,3,0.1,2,-3.1,3.8,0.0,0.952,0.976,0.928,0.953,0.905,0.952,0.823,0.618,0.876,0.587,0.479,0.747,0.83,0.636,0.881,0.609,0.501,0.759
poly,10,3,0.1,3,-2.9,3.3,0.1,0.949,0.964,0.934,0.949,0.898,0.949,0.811,0.6,0.867,0.566,0.449,0.733,0.849,0.636,0.905,0.636,0.541,0.771
poly,10,3,0.1,4,-3.1,3.4,0.1,0.949,0.97,0.928,0.95,0.898,0.949,0.804,0.582,0.862,0.546,0.426,0.722,0.83,0.636,0.881,0.609,0.501,0.759
poly,10,3,0.01,0,-4.1,5.5,-0.5,0.922,0.928,0.916,0.922,0.844,0.922,0.823,0.564,0.89,0.569,0.457,0.727,0.811,0.545,0.881,0.545,0.426,0.713
poly,10,3,0.01,1,-4.2,4.8,0.4,0.94,0.946,0.934,0.94,0.88,0.94,0.781,0.491,0.857,0.481,0.343,0.674,0.811,0.545,0.881,0.545,0.426,0.713
poly,10,3,0.01,2,-5.1,6.1,0.5,0.925,0.94,0.91,0.926,0.851,0.925,0.781,0.491,0.857,0.482,0.344,0.674,0.811,0.545,0.881,0.545,0.426,0.713
poly,10,3,0.01,3,-5.9,6.7,0.3,0.913,0.946,0.88,0.916,0.828,0.913,0.758,0.527,0.819,0.476,0.326,0.673,0.774,0.545,0.833,0.5,0.357,0.689
poly,10,3,0.01,4,-6.8,7.4,0.4,0.907,0.928,0.886,0.908,0.815,0.907,0.758,0.527,0.819,0.476,0.325,0.673,0.774,0.545,0.833,0.5,0.357,0.689
poly,10,3,0.001,0,0.3,0.7,0.6,0.518,0.036,1.0,0.067,0.103,0.518,0.811,0.091,1.0,0.167,0.271,0.545,0.811,0.091,1.0,0.167,0.271,0.545
poly,10,3,0.001,1,-6.4,4.9,0.1,0.892,0.91,0.873,0.894,0.784,0.892,0.732,0.473,0.8,0.422,0.253,0.636,0.736,0.455,0.81,0.417,0.249,0.632
poly,10,3,0.001,2,-11.2,8.6,0.1,0.898,0.946,0.849,0.903,0.8,0.898,0.702,0.418,0.776,0.37,0.182,0.597,0.679,0.273,0.786,0.261,0.057,0.529
poly,10,3,0.001,3,-13.3,8.2,0.4,0.895,0.91,0.879,0.896,0.79,0.895,0.728,0.436,0.805,0.402,0.232,0.621,0.679,0.273,0.786,0.261,0.057,0.529
poly,10,3,0.001,4,-15.3,9.8,0.2,0.898,0.94,0.855,0.903,0.799,0.898,0.702,0.455,0.767,0.385,0.202,0.611,0.66,0.364,0.738,0.308,0.092,0.551
