Kernel,C,degree,gamma,coef0,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
poly,5,3,0.001,0,-1.0,1.0,-1.0,0.206,1.0,0.0,0.341,0.0,0.5,0.208,1.0,0.0,0.344,0.0,0.5,0.208,1.0,0.0,0.344,0.0,0.5
poly,5,3,0.001,1,-2.2,2.7,0.3,0.818,0.228,0.97,0.318,0.292,0.599,0.777,0.182,0.933,0.246,0.155,0.558,0.736,0.091,0.905,0.125,-0.006,0.498
poly,5,3,0.001,2,-3.8,5.9,1.0,0.823,0.225,0.976,0.311,0.3,0.6,0.755,0.127,0.919,0.175,0.069,0.523,0.736,0.091,0.905,0.125,-0.006,0.498
poly,5,3,0.001,3,-6.2,7.4,1.3,0.818,0.206,0.976,0.309,0.32,0.591,0.77,0.127,0.938,0.177,0.086,0.533,0.774,0.182,0.929,0.25,0.153,0.555
poly,5,3,0.001,4,-7.9,8.2,1.1,0.809,0.206,0.964,0.3,0.292,0.585,0.774,0.236,0.914,0.303,0.193,0.575,0.774,0.364,0.881,0.4,0.264,0.622
poly,10,2,0.1,0,-18.7,15.1,0.4,0.827,0.461,0.922,0.503,0.416,0.692,0.717,0.273,0.833,0.276,0.101,0.553,0.736,0.273,0.857,0.3,0.14,0.565
poly,10,2,0.1,1,-13.2,5.7,0.7,0.842,0.417,0.952,0.495,0.447,0.684,0.728,0.2,0.867,0.218,0.06,0.533,0.755,0.273,0.881,0.316,0.174,0.577
poly,10,2,0.1,2,-15.8,6.4,0.8,0.837,0.417,0.946,0.488,0.432,0.681,0.728,0.2,0.867,0.218,0.06,0.533,0.755,0.273,0.881,0.316,0.174,0.577
poly,10,2,0.1,3,-17.3,6.7,0.8,0.837,0.417,0.946,0.488,0.432,0.681,0.732,0.2,0.871,0.221,0.066,0.536,0.755,0.273,0.881,0.316,0.174,0.577
poly,10,2,0.1,4,-17.7,6.8,0.8,0.837,0.417,0.946,0.488,0.432,0.681,0.736,0.218,0.871,0.242,0.089,0.545,0.755,0.273,0.881,0.316,0.174,0.577
poly,10,2,0.01,0,-2.4,3.0,-0.3,0.842,0.411,0.952,0.505,0.445,0.681,0.781,0.327,0.9,0.372,0.249,0.614,0.774,0.364,0.881,0.4,0.264,0.622
poly,10,2,0.01,1,-7.0,4.4,0.8,0.833,0.278,0.976,0.396,0.39,0.627,0.777,0.236,0.919,0.308,0.204,0.578,0.792,0.364,0.905,0.421,0.304,0.634
poly,10,2,0.01,2,-10.2,4.7,0.8,0.837,0.3,0.976,0.42,0.414,0.638,0.774,0.273,0.905,0.335,0.215,0.589,0.792,0.364,0.905,0.421,0.304,0.634
poly,10,2,0.01,3,-10.7,4.9,0.8,0.828,0.3,0.964,0.409,0.386,0.632,0.77,0.273,0.9,0.331,0.206,0.586,0.792,0.364,0.905,0.421,0.304,0.634
poly,10,2,0.01,4,-10.9,5.1,0.9,0.828,0.3,0.964,0.409,0.386,0.632,0.774,0.273,0.905,0.336,0.217,0.589,0.792,0.364,0.905,0.421,0.304,0.634
poly,10,2,0.001,0,-0.3,0.6,0.3,0.813,0.2,0.97,0.245,0.244,0.585,0.758,0.073,0.938,0.07,-0.021,0.505,0.755,0.0,0.952,0.0,-0.101,0.476
poly,10,2,0.001,1,-2.7,3.4,0.5,0.823,0.225,0.976,0.311,0.312,0.6,0.766,0.145,0.929,0.201,0.1,0.537,0.736,0.091,0.905,0.125,-0.006,0.498
poly,10,2,0.001,2,-3.3,4.7,1.2,0.818,0.181,0.982,0.27,0.28,0.581,0.77,0.055,0.957,0.088,0.02,0.506,0.755,0.0,0.952,0.0,-0.101,0.476
poly,10,2,0.001,3,-3.8,6.0,1.0,0.818,0.225,0.97,0.305,0.287,0.597,0.755,0.127,0.919,0.175,0.069,0.523,0.755,0.091,0.929,0.133,0.03,0.51
poly,10,2,0.001,4,-4.4,7.2,0.8,0.818,0.25,0.964,0.345,0.336,0.607,0.766,0.218,0.91,0.273,0.16,0.564,0.755,0.273,0.881,0.316,0.174,0.577
poly,10,3,0.1,0,-19.1,12.8,0.2,0.799,0.256,0.94,0.328,0.258,0.598,0.758,0.182,0.91,0.228,0.106,0.546,0.736,0.273,0.857,0.3,0.14,0.565
poly,10,3,0.1,1,-11.9,8.2,2.1,0.842,0.303,0.982,0.414,0.428,0.642,0.808,0.109,0.99,0.172,0.182,0.55,0.83,0.273,0.976,0.4,0.382,0.624
poly,10,3,0.1,2,-9.7,14.2,0.8,0.832,0.419,0.94,0.476,0.44,0.68,0.762,0.218,0.905,0.258,0.138,0.561,0.811,0.273,0.952,0.375,0.312,0.613
poly,10,3,0.1,3,-11.2,16.3,1.0,0.827,0.375,0.946,0.452,0.417,0.66,0.758,0.182,0.91,0.222,0.11,0.546,0.792,0.273,0.929,0.353,0.258,0.601
poly,10,3,0.1,4,-12.1,17.2,2.4,0.837,0.258,0.988,0.378,0.399,0.623,0.796,0.127,0.971,0.182,0.137,0.549,0.811,0.273,0.952,0.375,0.312,0.613
poly,10,3,0.01,0,-1.3,3.6,-0.9,0.828,0.342,0.952,0.431,0.402,0.647,0.796,0.345,0.914,0.406,0.298,0.63,0.811,0.455,0.905,0.5,0.388,0.68
poly,10,3,0.01,1,-8.9,5.4,0.4,0.823,0.367,0.939,0.432,0.375,0.653,0.762,0.364,0.867,0.385,0.24,0.615,0.774,0.455,0.857,0.455,0.312,0.656
poly,10,3,0.01,2,-11.7,6.5,0.1,0.799,0.508,0.873,0.477,0.364,0.691,0.758,0.473,0.833,0.439,0.289,0.653,0.811,0.636,0.857,0.583,0.465,0.747
poly,10,3,0.01,3,-13.1,6.1,-0.0,0.799,0.531,0.867,0.48,0.37,0.699,0.758,0.455,0.838,0.422,0.273,0.646,0.811,0.636,0.857,0.583,0.465,0.747
poly,10,3,0.01,4,-14.5,5.7,0.3,0.813,0.461,0.904,0.466,0.376,0.682,0.758,0.327,0.871,0.35,0.207,0.599,0.792,0.455,0.881,0.476,0.348,0.668
poly,10,3,0.001,0,-0.9,0.9,0.9,0.813,0.089,1.0,0.153,0.205,0.544,0.785,0.0,0.99,0.0,-0.028,0.495,0.774,0.0,0.976,0.0,-0.071,0.488
poly,10,3,0.001,1,-3.0,4.1,0.9,0.823,0.203,0.982,0.295,0.304,0.592,0.774,0.073,0.957,0.119,0.062,0.515,0.792,0.091,0.976,0.154,0.143,0.534
poly,10,3,0.001,2,-5.8,7.3,1.1,0.818,0.206,0.976,0.309,0.32,0.591,0.762,0.164,0.919,0.214,0.11,0.541,0.755,0.273,0.881,0.316,0.174,0.577
poly,10,3,0.001,3,-8.2,8.0,0.5,0.78,0.319,0.897,0.358,0.277,0.608,0.732,0.4,0.819,0.381,0.212,0.61,0.755,0.455,0.833,0.435,0.279,0.644
poly,10,3,0.001,4,-8.9,8.1,0.5,0.78,0.364,0.885,0.38,0.301,0.624,0.732,0.418,0.814,0.392,0.224,0.616,0.698,0.455,0.762,0.385,0.195,0.608
