activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(175,35)",0.001,0.794,0.367,0.903,0.414,0.301,0.635,0.834,0.636,0.886,0.608,0.509,0.761,0.868,0.727,0.905,0.696,0.612,0.816
relu,"(175,35)",0.0001,0.785,0.322,0.903,0.371,0.257,0.613,0.826,0.6,0.886,0.585,0.48,0.743,0.83,0.727,0.857,0.64,0.538,0.792
relu,"(200,40)",0.1,0.766,0.419,0.855,0.419,0.276,0.637,0.819,0.691,0.852,0.604,0.502,0.772,0.792,0.091,0.976,0.154,0.143,0.534
relu,"(200,40)",0.01,0.761,0.392,0.855,0.398,0.253,0.623,0.83,0.836,0.829,0.667,0.584,0.832,0.83,0.727,0.857,0.64,0.538,0.792
relu,"(200,40)",0.001,0.794,0.322,0.916,0.381,0.282,0.619,0.849,0.691,0.89,0.651,0.562,0.791,0.868,0.818,0.881,0.72,0.643,0.85
relu,"(200,40)",0.0001,0.789,0.3,0.916,0.353,0.253,0.608,0.849,0.673,0.895,0.648,0.555,0.784,0.887,0.818,0.905,0.75,0.681,0.861
relu,"(225,45)",0.1,0.737,0.347,0.837,0.347,0.188,0.592,0.8,0.655,0.838,0.567,0.451,0.746,0.849,0.818,0.857,0.692,0.608,0.838
relu,"(225,45)",0.01,0.78,0.367,0.885,0.398,0.273,0.626,0.823,0.727,0.848,0.621,0.524,0.787,0.792,0.545,0.857,0.522,0.39,0.701
relu,"(225,45)",0.001,0.78,0.278,0.909,0.319,0.207,0.594,0.845,0.709,0.881,0.647,0.558,0.795,0.868,0.818,0.881,0.72,0.643,0.85
relu,"(225,45)",0.0001,0.794,0.278,0.928,0.33,0.234,0.603,0.849,0.673,0.895,0.642,0.554,0.784,0.887,0.818,0.905,0.75,0.681,0.861
relu,"(250,50)",0.1,0.756,0.369,0.855,0.374,0.228,0.612,0.808,0.655,0.848,0.583,0.468,0.751,0.774,0.364,0.881,0.4,0.264,0.622
relu,"(250,50)",0.01,0.761,0.414,0.849,0.411,0.276,0.631,0.823,0.764,0.838,0.633,0.543,0.801,0.811,0.727,0.833,0.615,0.505,0.78
relu,"(250,50)",0.001,0.785,0.3,0.909,0.353,0.243,0.605,0.838,0.655,0.886,0.619,0.525,0.77,0.868,0.818,0.881,0.72,0.643,0.85
relu,"(250,50)",0.0001,0.794,0.275,0.928,0.334,0.241,0.601,0.849,0.655,0.9,0.637,0.548,0.777,0.887,0.818,0.905,0.75,0.681,0.861
relu,"(275,55)",0.1,0.766,0.228,0.904,0.216,0.129,0.566,0.774,0.291,0.9,0.276,0.188,0.595,0.792,0.0,1.0,0.0,0.0,0.5
relu,"(275,55)",0.01,0.761,0.392,0.855,0.398,0.254,0.623,0.83,0.8,0.838,0.653,0.57,0.819,0.868,0.909,0.857,0.741,0.677,0.883
relu,"(275,55)",0.001,0.78,0.275,0.909,0.32,0.21,0.592,0.842,0.691,0.881,0.637,0.544,0.786,0.887,0.818,0.905,0.75,0.681,0.861
relu,"(275,55)",0.0001,0.789,0.275,0.922,0.329,0.231,0.598,0.83,0.618,0.886,0.597,0.494,0.752,0.849,0.727,0.881,0.667,0.573,0.804
relu,"(300,60)",0.1,0.775,0.467,0.856,0.457,0.32,0.661,0.808,0.636,0.852,0.575,0.457,0.744,0.792,0.0,1.0,0.0,0.0,0.5
relu,"(300,60)",0.01,0.77,0.461,0.849,0.444,0.308,0.655,0.83,0.782,0.843,0.652,0.561,0.812,0.83,0.727,0.857,0.64,0.538,0.792
relu,"(300,60)",0.001,0.775,0.278,0.903,0.319,0.201,0.591,0.86,0.745,0.89,0.687,0.605,0.818,0.868,0.727,0.905,0.696,0.612,0.816
relu,"(300,60)",0.0001,0.794,0.231,0.94,0.295,0.21,0.585,0.864,0.709,0.905,0.684,0.601,0.807,0.868,0.727,0.905,0.696,0.612,0.816
relu,"(25,12)",0.1,0.742,0.458,0.813,0.413,0.258,0.635,0.815,0.855,0.805,0.662,0.578,0.83,0.774,0.636,0.81,0.538,0.401,0.723
relu,"(25,12)",0.01,0.804,0.439,0.897,0.473,0.368,0.668,0.845,0.818,0.852,0.683,0.603,0.835,0.868,0.818,0.881,0.72,0.643,0.85
relu,"(25,12)",0.001,0.814,0.414,0.915,0.469,0.381,0.665,0.86,0.782,0.881,0.7,0.618,0.831,0.83,0.818,0.833,0.667,0.576,0.826
relu,"(25,12)",0.0001,0.823,0.414,0.927,0.481,0.402,0.671,0.842,0.691,0.881,0.646,0.547,0.786,0.849,0.727,0.881,0.667,0.573,0.804
relu,"(50,25)",0.1,0.751,0.392,0.843,0.388,0.237,0.617,0.83,0.691,0.867,0.629,0.526,0.779,0.698,0.364,0.786,0.333,0.141,0.575
relu,"(50,25)",0.01,0.794,0.411,0.891,0.435,0.319,0.651,0.826,0.764,0.843,0.645,0.547,0.803,0.868,0.818,0.881,0.72,0.643,0.85
relu,"(50,25)",0.001,0.794,0.319,0.916,0.373,0.267,0.618,0.845,0.636,0.9,0.623,0.531,0.768,0.868,0.818,0.881,0.72,0.643,0.85
relu,"(50,25)",0.0001,0.804,0.297,0.934,0.37,0.286,0.616,0.842,0.582,0.91,0.598,0.503,0.746,0.868,0.727,0.905,0.696,0.612,0.816
relu,"(75,37)",0.1,0.742,0.439,0.819,0.401,0.249,0.629,0.819,0.709,0.848,0.605,0.506,0.778,0.83,0.909,0.81,0.69,0.615,0.859
relu,"(75,37)",0.01,0.775,0.392,0.873,0.411,0.281,0.632,0.857,0.836,0.862,0.706,0.63,0.849,0.83,0.727,0.857,0.64,0.538,0.792
relu,"(75,37)",0.001,0.765,0.231,0.903,0.277,0.16,0.567,0.842,0.709,0.876,0.648,0.552,0.793,0.83,0.818,0.833,0.667,0.576,0.826
relu,"(75,37)",0.0001,0.77,0.256,0.903,0.303,0.188,0.579,0.838,0.673,0.881,0.629,0.529,0.777,0.887,0.818,0.905,0.75,0.681,0.861
relu,"(100,50)",0.1,0.747,0.294,0.861,0.282,0.152,0.578,0.781,0.509,0.852,0.434,0.328,0.681,0.698,0.636,0.714,0.467,0.297,0.675
relu,"(100,50)",0.01,0.766,0.344,0.873,0.369,0.234,0.609,0.826,0.673,0.867,0.603,0.508,0.77,0.849,0.727,0.881,0.667,0.573,0.804
relu,"(100,50)",0.001,0.766,0.233,0.903,0.282,0.163,0.568,0.845,0.564,0.919,0.594,0.505,0.741,0.868,0.636,0.929,0.667,0.586,0.782
relu,"(100,50)",0.0001,0.775,0.233,0.915,0.293,0.198,0.574,0.849,0.527,0.933,0.586,0.509,0.73,0.868,0.636,0.929,0.667,0.586,0.782
relu,"(125,62)",0.1,0.704,0.297,0.807,0.283,0.104,0.552,0.8,0.764,0.81,0.612,0.506,0.787,0.66,1.0,0.571,0.55,0.466,0.786
relu,"(125,62)",0.01,0.775,0.411,0.867,0.414,0.286,0.639,0.838,0.764,0.857,0.661,0.569,0.81,0.868,0.818,0.881,0.72,0.643,0.85
