activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(100,50)",0.01,0.756,0.303,0.874,0.337,0.203,0.588,0.774,0.382,0.876,0.406,0.27,0.629,0.792,0.545,0.857,0.522,0.39,0.701
relu,"(100,50)",0.001,0.756,0.261,0.886,0.277,0.155,0.574,0.789,0.327,0.91,0.387,0.273,0.618,0.774,0.364,0.881,0.4,0.264,0.622
relu,"(100,50)",0.0001,0.775,0.261,0.91,0.296,0.192,0.586,0.796,0.309,0.924,0.381,0.283,0.616,0.792,0.364,0.905,0.421,0.304,0.634
relu,"(125,62)",0.1,0.737,0.369,0.831,0.37,0.21,0.6,0.774,0.418,0.867,0.428,0.29,0.642,0.774,0.636,0.81,0.538,0.401,0.723
relu,"(125,62)",0.01,0.756,0.303,0.874,0.326,0.186,0.588,0.777,0.345,0.89,0.383,0.26,0.618,0.755,0.364,0.857,0.381,0.229,0.61
relu,"(125,62)",0.001,0.794,0.3,0.922,0.364,0.266,0.611,0.777,0.255,0.914,0.32,0.212,0.584,0.774,0.182,0.929,0.25,0.153,0.555
relu,"(125,62)",0.0001,0.785,0.253,0.922,0.321,0.22,0.587,0.789,0.218,0.938,0.301,0.222,0.578,0.792,0.182,0.952,0.267,0.206,0.567
relu,"(150,75)",0.1,0.718,0.392,0.801,0.36,0.187,0.596,0.755,0.4,0.848,0.408,0.255,0.624,0.792,0.0,1.0,0.0,0.0,0.5
relu,"(150,75)",0.01,0.775,0.35,0.886,0.387,0.261,0.618,0.777,0.345,0.89,0.393,0.267,0.618,0.811,0.364,0.929,0.444,0.35,0.646
relu,"(150,75)",0.001,0.813,0.353,0.934,0.408,0.339,0.643,0.8,0.345,0.919,0.418,0.315,0.632,0.83,0.364,0.952,0.471,0.404,0.658
relu,"(150,75)",0.0001,0.809,0.331,0.934,0.382,0.311,0.632,0.815,0.345,0.938,0.437,0.353,0.642,0.83,0.364,0.952,0.471,0.404,0.658
