activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(75,15)",0.0001,0.91,0.946,0.873,0.913,0.822,0.91,0.826,0.891,0.81,0.681,0.602,0.85,0.83,0.909,0.81,0.69,0.615,0.859
relu,"(100,20)",0.1,0.901,0.928,0.873,0.902,0.805,0.901,0.796,0.8,0.795,0.621,0.516,0.798,0.755,0.909,0.714,0.606,0.513,0.812
relu,"(100,20)",0.01,0.922,0.964,0.88,0.925,0.848,0.922,0.781,0.8,0.776,0.604,0.493,0.788,0.774,0.818,0.762,0.6,0.491,0.79
relu,"(100,20)",0.001,0.913,0.952,0.874,0.916,0.829,0.913,0.796,0.818,0.79,0.626,0.524,0.804,0.811,0.818,0.81,0.643,0.545,0.814
relu,"(100,20)",0.0001,0.907,0.952,0.862,0.911,0.818,0.907,0.789,0.8,0.786,0.611,0.503,0.793,0.792,0.818,0.786,0.621,0.517,0.802
relu,"(125,25)",0.1,0.907,0.952,0.862,0.911,0.819,0.907,0.785,0.764,0.79,0.595,0.483,0.777,0.83,0.909,0.81,0.69,0.615,0.859
relu,"(125,25)",0.01,0.928,0.97,0.886,0.931,0.86,0.928,0.777,0.818,0.767,0.604,0.496,0.792,0.755,0.818,0.738,0.581,0.465,0.778
relu,"(125,25)",0.001,0.928,0.952,0.904,0.93,0.857,0.928,0.819,0.836,0.814,0.658,0.567,0.825,0.792,0.818,0.786,0.621,0.517,0.802
relu,"(125,25)",0.0001,0.922,0.946,0.898,0.924,0.845,0.922,0.819,0.855,0.81,0.662,0.574,0.832,0.811,0.818,0.81,0.643,0.545,0.814
relu,"(150,30)",0.1,0.898,0.964,0.832,0.904,0.805,0.898,0.777,0.836,0.762,0.61,0.507,0.799,0.792,0.909,0.762,0.645,0.561,0.835
relu,"(150,30)",0.01,0.937,0.97,0.903,0.939,0.876,0.937,0.796,0.782,0.8,0.615,0.507,0.791,0.811,0.818,0.81,0.643,0.545,0.814
relu,"(150,30)",0.001,0.931,0.958,0.904,0.933,0.863,0.931,0.804,0.836,0.795,0.639,0.543,0.816,0.792,0.818,0.786,0.621,0.517,0.802
relu,"(150,30)",0.0001,0.925,0.952,0.898,0.927,0.853,0.925,0.789,0.8,0.786,0.612,0.504,0.793,0.792,0.818,0.786,0.621,0.517,0.802
relu,"(175,35)",0.1,0.891,0.916,0.867,0.893,0.786,0.892,0.808,0.782,0.814,0.625,0.522,0.798,0.811,0.727,0.833,0.615,0.505,0.78
relu,"(175,35)",0.01,0.928,0.97,0.886,0.931,0.859,0.928,0.758,0.818,0.743,0.584,0.47,0.781,0.755,0.818,0.738,0.581,0.465,0.778
relu,"(175,35)",0.001,0.919,0.964,0.874,0.922,0.842,0.919,0.789,0.873,0.767,0.631,0.539,0.82,0.792,0.909,0.762,0.645,0.561,0.835
relu,"(175,35)",0.0001,0.916,0.958,0.874,0.919,0.836,0.916,0.792,0.873,0.771,0.635,0.544,0.822,0.811,0.909,0.786,0.667,0.588,0.847
relu,"(200,40)",0.1,0.892,0.946,0.838,0.897,0.789,0.892,0.796,0.764,0.805,0.607,0.497,0.784,0.774,0.909,0.738,0.625,0.537,0.824
relu,"(200,40)",0.01,0.925,0.976,0.874,0.929,0.855,0.925,0.777,0.836,0.762,0.609,0.505,0.799,0.774,0.818,0.762,0.6,0.491,0.79
relu,"(200,40)",0.001,0.934,0.97,0.898,0.936,0.871,0.934,0.819,0.909,0.795,0.676,0.599,0.852,0.811,0.909,0.786,0.667,0.588,0.847
relu,"(200,40)",0.0001,0.931,0.964,0.898,0.933,0.865,0.931,0.819,0.909,0.795,0.676,0.599,0.852,0.83,0.909,0.81,0.69,0.615,0.859
relu,"(225,45)",0.1,0.91,0.958,0.862,0.914,0.825,0.91,0.755,0.836,0.733,0.587,0.476,0.785,0.774,0.818,0.762,0.6,0.491,0.79
relu,"(225,45)",0.01,0.922,0.97,0.874,0.926,0.848,0.922,0.815,0.891,0.795,0.667,0.585,0.843,0.792,0.818,0.786,0.621,0.517,0.802
relu,"(225,45)",0.001,0.922,0.964,0.88,0.925,0.847,0.922,0.808,0.891,0.786,0.658,0.574,0.838,0.792,0.909,0.762,0.645,0.561,0.835
relu,"(225,45)",0.0001,0.922,0.958,0.886,0.925,0.847,0.922,0.808,0.909,0.781,0.663,0.583,0.845,0.792,0.909,0.762,0.645,0.561,0.835
relu,"(250,50)",0.1,0.886,0.97,0.802,0.895,0.786,0.886,0.777,0.909,0.743,0.63,0.542,0.826,0.774,0.909,0.738,0.625,0.537,0.824
relu,"(250,50)",0.01,0.928,0.97,0.886,0.931,0.859,0.928,0.785,0.8,0.781,0.607,0.499,0.79,0.83,0.818,0.833,0.667,0.576,0.826
relu,"(250,50)",0.001,0.925,0.964,0.886,0.928,0.854,0.925,0.796,0.818,0.79,0.625,0.523,0.804,0.792,0.818,0.786,0.621,0.517,0.802
relu,"(250,50)",0.0001,0.91,0.946,0.874,0.913,0.823,0.91,0.796,0.818,0.79,0.625,0.523,0.804,0.792,0.818,0.786,0.621,0.517,0.802
relu,"(275,55)",0.1,0.919,0.976,0.861,0.924,0.843,0.919,0.785,0.8,0.781,0.603,0.499,0.79,0.792,0.818,0.786,0.621,0.517,0.802
relu,"(275,55)",0.01,0.922,0.97,0.874,0.926,0.849,0.922,0.781,0.836,0.767,0.616,0.513,0.802,0.755,0.818,0.738,0.581,0.465,0.778
relu,"(275,55)",0.001,0.934,0.97,0.898,0.936,0.871,0.934,0.8,0.836,0.79,0.634,0.537,0.813,0.774,0.818,0.762,0.6,0.491,0.79
relu,"(275,55)",0.0001,0.937,0.97,0.904,0.939,0.877,0.937,0.808,0.855,0.795,0.648,0.557,0.825,0.811,0.818,0.81,0.643,0.545,0.814
relu,"(300,60)",0.1,0.901,0.964,0.838,0.907,0.809,0.901,0.774,0.891,0.743,0.619,0.529,0.817,0.774,0.909,0.738,0.625,0.537,0.824
relu,"(300,60)",0.01,0.931,0.964,0.898,0.933,0.864,0.931,0.804,0.836,0.795,0.64,0.544,0.816,0.774,0.727,0.786,0.571,0.446,0.756
relu,"(300,60)",0.001,0.919,0.952,0.886,0.921,0.84,0.919,0.811,0.836,0.805,0.648,0.554,0.821,0.83,0.818,0.833,0.667,0.576,0.826
