Kernel,C,degree,gamma,coef0,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
poly,10,2,0.1,2,-4.8,4.1,0.3,0.955,0.964,0.945,0.955,0.912,0.955,0.808,0.382,0.919,0.448,0.346,0.65,0.811,0.364,0.929,0.444,0.35,0.646
poly,10,2,0.1,3,-5.1,4.2,0.5,0.949,0.946,0.952,0.948,0.9,0.949,0.811,0.382,0.924,0.453,0.355,0.653,0.811,0.364,0.929,0.444,0.35,0.646
poly,10,2,0.1,4,-5.4,4.4,0.5,0.949,0.946,0.952,0.948,0.9,0.949,0.811,0.382,0.924,0.453,0.355,0.653,0.811,0.364,0.929,0.444,0.35,0.646
poly,10,2,0.01,0,-2.4,5.0,0.0,0.949,0.94,0.958,0.948,0.9,0.949,0.774,0.382,0.876,0.41,0.273,0.629,0.774,0.455,0.857,0.455,0.312,0.656
poly,10,2,0.01,1,-6.1,4.7,0.6,0.931,0.922,0.94,0.93,0.867,0.931,0.792,0.382,0.9,0.434,0.315,0.641,0.774,0.364,0.881,0.4,0.264,0.622
poly,10,2,0.01,2,-8.4,7.4,0.6,0.925,0.928,0.922,0.925,0.855,0.925,0.774,0.364,0.881,0.4,0.268,0.622,0.774,0.364,0.881,0.4,0.264,0.622
poly,10,2,0.01,3,-10.0,9.6,0.3,0.916,0.946,0.885,0.918,0.838,0.916,0.721,0.4,0.805,0.371,0.195,0.602,0.736,0.364,0.833,0.364,0.197,0.598
poly,10,2,0.01,4,-11.1,11.0,0.2,0.913,0.952,0.873,0.917,0.833,0.913,0.702,0.418,0.776,0.368,0.18,0.597,0.698,0.364,0.786,0.333,0.141,0.575
poly,10,2,0.001,0,-1.0,1.0,-0.8,0.825,0.85,0.8,0.832,0.664,0.825,0.804,0.8,0.805,0.645,0.552,0.802,0.604,0.909,0.524,0.488,0.354,0.716
poly,10,2,0.001,1,-4.3,4.3,0.3,0.858,0.849,0.867,0.857,0.719,0.858,0.842,0.782,0.857,0.672,0.58,0.819,0.849,0.818,0.857,0.692,0.608,0.838
poly,10,2,0.001,2,-5.5,5.3,-0.3,0.852,0.958,0.746,0.868,0.725,0.852,0.717,0.818,0.69,0.547,0.421,0.754,0.736,0.818,0.714,0.562,0.441,0.766
poly,10,2,0.001,3,-6.3,7.1,-0.1,0.864,0.916,0.813,0.872,0.736,0.864,0.747,0.8,0.733,0.569,0.448,0.767,0.774,0.818,0.762,0.6,0.491,0.79
poly,10,2,0.001,4,-6.9,8.2,0.1,0.867,0.891,0.843,0.871,0.74,0.867,0.766,0.764,0.767,0.576,0.457,0.765,0.774,0.818,0.762,0.6,0.491,0.79
poly,10,3,0.1,0,-5.3,10.7,0.1,0.949,0.976,0.922,0.951,0.9,0.949,0.83,0.745,0.852,0.645,0.545,0.799,0.811,0.636,0.857,0.583,0.465,0.747
poly,10,3,0.1,1,-3.8,7.1,0.3,0.967,0.958,0.976,0.966,0.936,0.967,0.815,0.382,0.929,0.462,0.37,0.655,0.811,0.273,0.952,0.375,0.312,0.613
poly,10,3,0.1,2,-4.0,4.9,0.2,0.961,0.964,0.958,0.961,0.924,0.961,0.796,0.436,0.89,0.465,0.344,0.663,0.792,0.364,0.905,0.421,0.304,0.634
poly,10,3,0.1,3,-4.3,4.5,0.3,0.958,0.958,0.958,0.958,0.918,0.958,0.796,0.4,0.9,0.444,0.329,0.65,0.811,0.364,0.929,0.444,0.35,0.646
poly,10,3,0.1,4,-4.5,4.5,0.4,0.955,0.952,0.958,0.955,0.911,0.955,0.808,0.364,0.924,0.438,0.341,0.644,0.811,0.364,0.929,0.444,0.35,0.646
poly,10,3,0.01,0,-2.9,18.3,-0.4,0.921,0.946,0.897,0.924,0.847,0.922,0.819,0.873,0.805,0.667,0.582,0.839,0.83,0.909,0.81,0.69,0.615,0.859
poly,10,3,0.01,1,-5.4,4.7,0.5,0.943,0.934,0.952,0.942,0.889,0.943,0.796,0.345,0.914,0.41,0.302,0.63,0.792,0.364,0.905,0.421,0.304,0.634
poly,10,3,0.01,2,-6.3,5.1,0.6,0.937,0.934,0.94,0.936,0.878,0.937,0.789,0.345,0.905,0.403,0.286,0.625,0.792,0.364,0.905,0.421,0.304,0.634
poly,10,3,0.01,3,-7.6,5.9,0.6,0.925,0.928,0.922,0.925,0.854,0.925,0.785,0.364,0.895,0.411,0.287,0.629,0.792,0.364,0.905,0.421,0.304,0.634
poly,10,3,0.01,4,-8.7,7.2,0.4,0.922,0.946,0.897,0.924,0.85,0.922,0.747,0.4,0.838,0.397,0.239,0.619,0.717,0.364,0.81,0.348,0.168,0.587
poly,10,3,0.001,0,-1.0,1.0,-0.9,0.548,0.096,1.0,0.173,0.22,0.548,0.853,0.291,1.0,0.446,0.492,0.645,0.868,0.364,1.0,0.533,0.558,0.682
poly,10,3,0.001,1,-4.7,4.2,-0.1,0.87,0.934,0.807,0.88,0.749,0.87,0.755,0.818,0.738,0.582,0.467,0.778,0.755,0.818,0.738,0.581,0.465,0.778
poly,10,3,0.001,2,-7.8,8.7,-0.2,0.876,0.946,0.806,0.886,0.766,0.876,0.743,0.764,0.738,0.552,0.423,0.751,0.774,0.818,0.762,0.6,0.491,0.79
poly,10,3,0.001,3,-11.1,13.2,0.2,0.888,0.934,0.843,0.894,0.787,0.889,0.736,0.509,0.795,0.442,0.279,0.652,0.755,0.455,0.833,0.435,0.279,0.644
poly,10,3,0.001,4,-14.5,14.6,0.1,0.885,0.94,0.831,0.892,0.783,0.886,0.721,0.473,0.786,0.411,0.237,0.629,0.755,0.455,0.833,0.435,0.279,0.644
