Kernel,C,degree,gamma,coef0,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
poly,5,2,0.001,4,-4.7,4.4,0.7,0.786,0.261,0.946,0.343,0.279,0.603,0.765,0.232,0.933,0.32,0.228,0.582,0.722,0.158,0.9,0.214,0.078,0.529
poly,5,3,0.1,0,-14.1,9.5,-0.0,0.805,0.318,0.954,0.422,0.365,0.636,0.762,0.337,0.897,0.401,0.271,0.617,0.797,0.421,0.917,0.5,0.389,0.669
poly,5,3,0.1,1,-5.6,3.7,0.5,0.799,0.195,0.983,0.3,0.315,0.589,0.759,0.2,0.937,0.287,0.204,0.568,0.747,0.211,0.917,0.286,0.171,0.564
poly,5,3,0.1,2,-7.1,4.3,1.1,0.802,0.154,1.0,0.25,0.305,0.577,0.772,0.147,0.97,0.237,0.221,0.559,0.747,0.105,0.95,0.167,0.097,0.528
poly,5,3,0.1,3,-8.2,5.2,0.7,0.802,0.264,0.967,0.361,0.31,0.615,0.757,0.284,0.907,0.357,0.234,0.595,0.747,0.211,0.917,0.286,0.171,0.564
poly,5,3,0.1,4,-9.0,5.8,0.7,0.802,0.277,0.962,0.371,0.312,0.62,0.752,0.284,0.9,0.352,0.221,0.592,0.722,0.211,0.883,0.267,0.116,0.547
poly,5,3,0.01,0,-1.7,2.1,-0.4,0.796,0.206,0.975,0.319,0.31,0.59,0.775,0.221,0.95,0.318,0.252,0.586,0.772,0.263,0.933,0.357,0.264,0.598
poly,5,3,0.01,1,-7.2,5.2,0.4,0.776,0.276,0.929,0.353,0.272,0.603,0.732,0.316,0.863,0.359,0.198,0.59,0.747,0.368,0.867,0.412,0.256,0.618
poly,5,3,0.01,2,-11.6,8.1,1.0,0.792,0.235,0.962,0.332,0.297,0.599,0.749,0.232,0.913,0.303,0.186,0.572,0.772,0.316,0.917,0.4,0.287,0.616
poly,5,3,0.01,3,-12.5,9.3,1.1,0.799,0.275,0.958,0.375,0.322,0.617,0.734,0.211,0.9,0.272,0.139,0.555,0.772,0.316,0.917,0.4,0.287,0.616
poly,5,3,0.01,4,-12.7,10.3,0.9,0.805,0.33,0.95,0.429,0.367,0.64,0.742,0.263,0.893,0.324,0.188,0.578,0.722,0.316,0.85,0.353,0.181,0.583
poly,5,3,0.001,0,-1.0,0.7,-0.9,0.665,0.214,0.8,0.104,0.047,0.507,0.656,0.2,0.8,0.078,0.0,0.5,0.759,0.0,1.0,0.0,0.0,0.5
poly,5,3,0.001,1,-2.8,3.1,1.6,0.799,0.137,1.0,0.236,0.321,0.569,0.762,0.011,1.0,0.02,0.04,0.505,0.759,0.0,1.0,0.0,0.0,0.5
poly,5,3,0.001,2,-5.7,5.2,1.6,0.796,0.15,0.992,0.24,0.271,0.571,0.752,0.032,0.98,0.057,0.038,0.506,0.747,0.0,0.983,0.0,-0.064,0.492
poly,5,3,0.001,3,-7.2,8.5,2.6,0.796,0.137,0.996,0.227,0.273,0.566,0.762,0.021,0.997,0.039,0.06,0.509,0.759,0.0,1.0,0.0,0.0,0.5
poly,5,3,0.001,4,-8.8,10.5,1.2,0.786,0.248,0.95,0.337,0.273,0.599,0.752,0.168,0.937,0.235,0.151,0.553,0.759,0.105,0.967,0.174,0.14,0.536
poly,10,2,0.1,0,-10.5,11.7,1.5,0.773,0.139,0.967,0.218,0.185,0.553,0.777,0.168,0.97,0.264,0.249,0.569,0.747,0.105,0.95,0.167,0.097,0.528
poly,10,2,0.1,1,-9.5,6.8,0.9,0.799,0.263,0.962,0.36,0.299,0.613,0.777,0.295,0.93,0.388,0.295,0.612,0.747,0.316,0.883,0.375,0.23,0.6
poly,10,2,0.1,2,-10.6,7.3,0.8,0.802,0.29,0.958,0.381,0.314,0.624,0.752,0.295,0.897,0.362,0.228,0.596,0.734,0.263,0.883,0.323,0.174,0.573
poly,10,2,0.1,3,-11.2,7.6,0.5,0.792,0.347,0.929,0.407,0.309,0.638,0.749,0.358,0.873,0.407,0.257,0.616,0.747,0.421,0.85,0.444,0.282,0.636
poly,10,2,0.1,4,-11.5,7.7,0.6,0.796,0.347,0.933,0.412,0.317,0.64,0.749,0.316,0.887,0.373,0.231,0.601,0.747,0.368,0.867,0.412,0.256,0.618
poly,10,2,0.01,0,-2.4,3.8,1.2,0.783,0.083,0.996,0.149,0.211,0.539,0.772,0.126,0.977,0.21,0.206,0.551,0.772,0.158,0.967,0.25,0.219,0.562
poly,10,2,0.01,1,-6.4,7.9,0.3,0.773,0.342,0.904,0.407,0.296,0.623,0.722,0.326,0.847,0.359,0.187,0.586,0.734,0.368,0.85,0.4,0.232,0.609
