activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(75,15)",0.001,0.785,0.356,0.898,0.392,0.271,0.627,0.845,0.727,0.876,0.662,0.567,0.802,0.849,0.727,0.881,0.667,0.573,0.804
relu,"(75,15)",0.0001,0.799,0.328,0.922,0.398,0.296,0.625,0.842,0.745,0.867,0.662,0.566,0.806,0.868,0.909,0.857,0.741,0.677,0.883
relu,"(100,20)",0.1,0.77,0.536,0.831,0.485,0.344,0.684,0.842,0.873,0.833,0.695,0.618,0.853,0.736,0.727,0.738,0.533,0.394,0.733
relu,"(100,20)",0.01,0.785,0.375,0.892,0.41,0.285,0.633,0.872,0.8,0.89,0.719,0.645,0.845,0.868,0.818,0.881,0.72,0.643,0.85
relu,"(100,20)",0.001,0.809,0.353,0.928,0.42,0.336,0.64,0.849,0.655,0.9,0.638,0.548,0.777,0.868,0.727,0.905,0.696,0.612,0.816
relu,"(100,20)",0.0001,0.818,0.353,0.94,0.433,0.357,0.646,0.849,0.636,0.905,0.635,0.544,0.771,0.868,0.727,0.905,0.696,0.612,0.816
relu,"(125,25)",0.1,0.785,0.492,0.861,0.479,0.352,0.676,0.819,0.8,0.824,0.647,0.553,0.812,0.792,0.545,0.857,0.522,0.39,0.701
relu,"(125,25)",0.01,0.775,0.419,0.867,0.428,0.291,0.643,0.845,0.764,0.867,0.662,0.578,0.815,0.83,0.818,0.833,0.667,0.576,0.826
relu,"(125,25)",0.001,0.78,0.328,0.898,0.379,0.255,0.613,0.868,0.782,0.89,0.707,0.631,0.836,0.868,0.818,0.881,0.72,0.643,0.85
relu,"(125,25)",0.0001,0.78,0.306,0.904,0.362,0.242,0.605,0.86,0.727,0.895,0.68,0.596,0.811,0.887,0.818,0.905,0.75,0.681,0.861
relu,"(150,30)",0.1,0.742,0.372,0.837,0.372,0.214,0.605,0.777,0.655,0.81,0.534,0.415,0.732,0.604,0.818,0.548,0.462,0.297,0.683
relu,"(150,30)",0.01,0.776,0.444,0.861,0.447,0.31,0.653,0.849,0.764,0.871,0.673,0.586,0.818,0.887,0.909,0.881,0.769,0.711,0.895
relu,"(150,30)",0.001,0.78,0.328,0.897,0.376,0.255,0.613,0.868,0.764,0.895,0.691,0.619,0.829,0.868,0.818,0.881,0.72,0.643,0.85
relu,"(150,30)",0.0001,0.785,0.303,0.909,0.369,0.258,0.606,0.86,0.745,0.89,0.673,0.597,0.818,0.849,0.818,0.857,0.692,0.608,0.838
relu,"(175,35)",0.1,0.761,0.347,0.867,0.372,0.228,0.607,0.785,0.473,0.867,0.473,0.34,0.67,0.887,0.909,0.881,0.769,0.711,0.895
relu,"(175,35)",0.01,0.775,0.422,0.867,0.425,0.291,0.645,0.868,0.8,0.886,0.713,0.637,0.843,0.83,0.727,0.857,0.64,0.538,0.792
relu,"(175,35)",0.001,0.809,0.4,0.916,0.448,0.353,0.658,0.845,0.655,0.895,0.623,0.532,0.775,0.868,0.727,0.905,0.696,0.612,0.816
relu,"(175,35)",0.0001,0.809,0.353,0.928,0.423,0.336,0.64,0.845,0.636,0.9,0.618,0.526,0.768,0.868,0.818,0.881,0.72,0.643,0.85
relu,"(200,40)",0.1,0.79,0.489,0.867,0.475,0.35,0.678,0.83,0.745,0.852,0.64,0.554,0.799,0.811,0.727,0.833,0.615,0.505,0.78
relu,"(200,40)",0.01,0.776,0.4,0.873,0.414,0.279,0.637,0.864,0.836,0.871,0.718,0.644,0.854,0.849,0.818,0.857,0.692,0.608,0.838
