Kernel,C,degree,gamma,coef0,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
poly,5,2,0.001,0,-0.9,0.9,-0.1,0.56,0.333,0.8,0.316,0.174,0.567,0.638,0.275,0.8,0.227,0.18,0.538,0.731,0.125,1.0,0.222,0.3,0.562
poly,5,2,0.001,1,-2.6,2.7,0.0,0.892,0.838,0.946,0.885,0.79,0.892,0.854,0.8,0.878,0.769,0.677,0.839,0.731,0.625,0.778,0.588,0.391,0.701
poly,5,2,0.001,2,-2.9,3.2,0.1,0.912,0.865,0.96,0.907,0.829,0.912,0.815,0.7,0.867,0.702,0.579,0.783,0.846,0.875,0.833,0.778,0.672,0.854
poly,5,2,0.001,3,-3.0,3.6,0.1,0.919,0.891,0.947,0.915,0.841,0.919,0.808,0.75,0.833,0.709,0.581,0.792,0.808,0.75,0.833,0.706,0.566,0.792
poly,5,2,0.001,4,-3.0,4.1,0.2,0.912,0.864,0.96,0.907,0.83,0.912,0.808,0.7,0.856,0.69,0.571,0.778,0.808,0.625,0.889,0.667,0.535,0.757
poly,5,3,0.1,0,-1.9,8.0,-0.2,0.946,0.932,0.96,0.946,0.894,0.946,0.854,0.55,0.989,0.693,0.654,0.769,0.885,0.625,1.0,0.769,0.732,0.812
poly,5,3,0.1,1,-1.5,3.6,0.0,0.953,0.917,0.987,0.948,0.911,0.952,0.869,0.575,1.0,0.725,0.694,0.788,0.885,0.625,1.0,0.769,0.732,0.812
poly,5,3,0.1,2,-1.7,2.9,0.1,0.966,0.93,1.0,0.962,0.936,0.965,0.892,0.65,1.0,0.784,0.749,0.825,0.923,0.75,1.0,0.857,0.822,0.875
poly,5,3,0.1,3,-1.9,2.7,0.2,0.959,0.917,1.0,0.955,0.923,0.959,0.892,0.65,1.0,0.784,0.749,0.825,0.923,0.75,1.0,0.857,0.822,0.875
poly,5,3,0.1,4,-2.0,2.6,0.2,0.966,0.945,0.987,0.964,0.934,0.966,0.9,0.675,1.0,0.804,0.768,0.838,0.923,0.75,1.0,0.857,0.822,0.875
poly,5,3,0.01,0,-1.4,2.6,-0.6,0.926,0.866,0.987,0.92,0.859,0.926,0.823,0.5,0.967,0.628,0.56,0.733,0.808,0.375,1.0,0.545,0.542,0.688
poly,5,3,0.01,1,-2.1,2.6,0.3,0.953,0.918,0.987,0.95,0.908,0.952,0.908,0.7,1.0,0.822,0.786,0.85,0.885,0.625,1.0,0.769,0.732,0.812
poly,5,3,0.01,2,-2.4,3.3,0.4,0.939,0.918,0.96,0.937,0.88,0.939,0.869,0.65,0.967,0.753,0.687,0.808,0.885,0.625,1.0,0.769,0.732,0.812
poly,5,3,0.01,3,-2.7,3.7,0.6,0.926,0.891,0.96,0.922,0.855,0.926,0.854,0.6,0.967,0.716,0.649,0.783,0.885,0.625,1.0,0.769,0.732,0.812
poly,5,3,0.01,4,-2.8,4.1,0.1,0.919,0.946,0.893,0.922,0.843,0.92,0.823,0.725,0.867,0.719,0.596,0.796,0.808,0.625,0.889,0.667,0.535,0.757
poly,5,3,0.001,0,-1.0,1.0,0.9,0.562,0.129,1.0,0.157,0.139,0.564,0.715,0.075,1.0,0.109,0.108,0.538,0.692,0.0,1.0,0.0,0.0,0.5
poly,5,3,0.001,1,-2.7,2.9,0.0,0.912,0.865,0.96,0.906,0.83,0.912,0.831,0.775,0.856,0.739,0.629,0.815,0.846,0.875,0.833,0.778,0.672,0.854
poly,5,3,0.001,2,-3.4,4.3,0.5,0.912,0.85,0.973,0.904,0.833,0.912,0.831,0.65,0.911,0.7,0.604,0.781,0.885,0.75,0.944,0.8,0.723,0.847
poly,5,3,0.001,3,-3.9,6.4,0.4,0.912,0.905,0.919,0.911,0.828,0.912,0.754,0.7,0.778,0.634,0.469,0.739,0.769,0.75,0.778,0.667,0.501,0.764
poly,5,3,0.001,4,-3.9,7.2,0.7,0.926,0.918,0.933,0.925,0.854,0.926,0.785,0.625,0.856,0.645,0.511,0.74,0.808,0.625,0.889,0.667,0.535,0.757
poly,10,2,0.1,0,-1.5,4.8,0.1,0.913,0.907,0.92,0.913,0.829,0.913,0.754,0.225,0.989,0.351,0.371,0.607,0.731,0.125,1.0,0.222,0.3,0.562
