Index,position,attribute,F_val,p_val
15919,4540,UBTF,1.1576241,0.28295618
13556,4541,SLC36A4,1.1576209,0.28295687
3561,4542,DACH1,1.1574893,0.28298417
2626,4543,CGB1,1.1573505,0.28301296
7873,4544,LMNB2,1.1571989,0.28304443
7686,4545,LCE1E,1.1567072,0.2831465
10240,4546,ORC5,1.1562383,0.28324386
11516,4547,PRMT3,1.1561419,0.2832639
14803,4548,TFDP3,1.1555681,0.28338313
1184,4549,ATXN3L,1.1555482,0.28338727
3124,4550,COX7A2,1.1553618,0.28342602
15259,4551,TMX4,1.1533393,0.28384688
8488,4552,METTL14,1.1528251,0.283954
12369,4553,RIOK1,1.1525298,0.28401554
17232,4554,ZSCAN1,1.1517987,0.284168
11093,4555,PLXNC1,1.1511683,0.28429952
11152,4556,POF1B,1.1511464,0.2843041
3384,4557,CTRC,1.1510661,0.28432086
5833,4558,GPI,1.1505361,0.28443152
7986,4559,LRRC3B,1.1497928,0.2845868
6645,4560,IFNA6,1.1495892,0.28462934
4691,4561,FABP12,1.149485,0.28465113
4085,4562,DPYSL4,1.1488096,0.28479236
16736,4563,ZNF148,1.1487845,0.2847976
16339,4564,WDR88,1.148237,0.28491217
15737,4565,TTLL4,1.1482028,0.28491932
3199,4566,CREB3L1,1.1480596,0.2849493
5256,4567,FPGS,1.1478533,0.2849925
14444,4568,SYNGR2,1.1478474,0.2849937
11048,4569,PLEKHM1,1.1471919,0.28513098
16707,4570,ZMYM6,1.1469104,0.28518996
1586,4571,C12orf40,1.1467501,0.28522357
4331,4572,EIF2AK2,1.145739,0.28543556
1611,4573,C15orf62,1.1457022,0.28544328
12912,4574,SCN2A,1.1454816,0.28548956
6112,4575,HABP4,1.145443,0.28549767
14784,4576,TEX28,1.1449003,0.28561157
9632,4577,NRGN,1.1446599,0.28566206
2723,4578,CHRNB3,1.144323,0.2857328
2969,4579,CNPY2,1.1440892,0.2857819
7175,4580,KCNK5,1.1436439,0.2858755
4208,4581,EAPP,1.143258,0.28595662
10468,4582,PBLD,1.142975,0.28601614
6025,4583,GSTA1,1.1427494,0.28606355
9234,4584,NDST2,1.1426102,0.28609285
10078,4585,OR51I1,1.1423525,0.2861471
16781,4586,ZNF23,1.1421001,0.2862002
11487,4587,PRKCA,1.1420906,0.28620222
4084,4588,DPYSL3,1.1414062,0.28634632
6488,4589,HSD17B8,1.1413676,0.28635445
15563,4590,TRIP4,1.1412486,0.28637952
14282,4591,STK25,1.141047,0.28642198
5245,4592,FOXO4,1.1410053,0.28643078
11039,4593,PLEKHG4,1.1409377,0.28644502
11334,4594,PPP1R15B,1.1405665,0.28652325
6477,4595,HSD17B1,1.139434,0.2867621
6701,4596,IGLON5,1.1391884,0.2868139
7352,4597,KLF13,1.1385545,0.28694776
15047,4598,TMEM131,1.138512,0.28695673
3235,4599,CROCC,1.1381521,0.28703275
2881,4600,CLN3,1.1376935,0.28712964
10670,4601,PDXDC1,1.1376749,0.28713357
16470,4602,YDJC,1.1376305,0.287143
8181,4603,MAGEC2,1.1376193,0.28714535
5547,4604,GEM,1.1370094,0.2872743
15561,4605,TRIP12,1.1369426,0.28728843
15059,4606,TMEM143,1.1366487,0.2873506
15558,4607,TRIOBP,1.1364104,0.28740102
8448,4608,MED6,1.1358322,0.28752342
5913,4609,GPR83,1.1357434,0.28754222
4036,4610,DOHH,1.1354545,0.28760338
1232,4611,B3GNT8,1.1347811,0.28774607
11790,4612,PTPRG,1.1347805,0.2877462
5191,4613,FNDC8,1.1343346,0.28784072
6303,4614,HLA-DOB,1.1337897,0.2879563
17065,4615,ZNF664,1.1335151,0.28801453
10000,4616,OR2T33,1.1334124,0.28803635
9330,4617,NEUROD2,1.1330826,0.28810632
11618,4618,PRSS54,1.1330812,0.28810662
4473,4619,ENTPD4,1.1329565,0.2881331
9033,4620,MYL9,1.1328127,0.28816363
10840,4621,PI16,1.1327407,0.28817892
15416,4622,TPRKB,1.1327251,0.28818223
12799,4623,SAE1,1.132433,0.28824425
4018,4624,DNMT3L,1.1320673,0.28832197
10282,4625,OTOP3,1.1320074,0.2883347
6662,4626,IFT20,1.1315236,0.28843752
9253,4627,NDUFAF2,1.1309801,0.2885531
11499,4628,PRKD3,1.1309606,0.28855723
17116,4629,ZNF720,1.1309519,0.28855908
3834,4630,DHRS7,1.130724,0.28860757
6640,4631,IFNA17,1.1304876,0.28865787
8645,4632,MMP20,1.1296784,0.28883013
9279,4633,NDUFV2,1.1292515,0.28892106
14096,4634,SPTBN2,1.1290078,0.28897297
4309,4635,EHBP1,1.128643,0.28905073
4536,4636,ERBB2,1.1284623,0.28908926
2463,4637,CDK9,1.1282791,0.28912833
6789,4638,IL32,1.1280217,0.2891832
15242,4639,TMPRSS6,1.1278523,0.28921935
7652,4640,LANCL1,1.1277227,0.289247
5194,4641,FNIP2,1.1276364,0.2892654
5976,4642,GRIN1,1.1274364,0.2893081
14019,4643,SPHK1,1.1273245,0.28933197
2473,4644,CDKN2A,1.1271683,0.28936532
2242,4645,CCNL2,1.1271448,0.28937033
2529,4646,CELF1,1.1269763,0.28940633
423,4647,AK8,1.1263453,0.28954107
2643,4648,CHAMP1,1.1260868,0.2895963
12773,4649,S100A4,1.1251857,0.28978893
11459,4650,PREX2,1.1251101,0.28980508
8354,4651,MBOAT2,1.1248797,0.28985438
16739,4652,ZNF157,1.1247534,0.2898814
9665,4653,NSUN7,1.1246637,0.2899006
13485,4654,SLC27A5,1.1245527,0.28992432
8339,4655,MBD3L2,1.1234965,0.29015046
8443,4656,MED28,1.1232439,0.29020458
5661,4657,GLIPR1L2,1.123162,0.29022214
14725,4658,TDRD1,1.1231083,0.29023364
558,4659,AMPH,1.1227727,0.29030558
7173,4660,KCNK3,1.1226125,0.29033992
9152,4661,NAT1,1.1225103,0.29036182
7916,4662,LPL,1.1224092,0.2903835
4024,4663,DOC2B,1.1223348,0.29039943
10955,4664,PKNOX2,1.1215067,0.2905771
7391,4665,KLHL26,1.1211632,0.2906508
1947,4666,CAMK2N2,1.1203247,0.2908309
5779,4667,GOLGA7B,1.1202586,0.29084513
6639,4668,IFNA16,1.1202462,0.29084778
14356,4669,SUFU,1.1201559,0.29086718
1825,4670,C8B,1.1199515,0.2909111
3232,4671,CRMP1,1.1195698,0.29099315
7340,4672,KIT,1.1190426,0.29110652
9339,4673,NFAM1,1.1186647,0.29118782
15234,4674,TMPRSS11F,1.1186204,0.2911974
9571,4675,NPNT,1.1182201,0.29128355
8473,4676,MEP1B,1.1181141,0.29130635
14120,4677,SRF,1.1177931,0.2913755
16279,4678,WBP2NL,1.1175734,0.2914228
3103,4679,CORT,1.1172069,0.29150176
16699,4680,ZMIZ1,1.1165159,0.2916507
16221,4681,VPS37D,1.1163764,0.29168078
525,4682,ALPL,1.1157678,0.29181206
12495,4683,RNFT1,1.115263,0.29192102
3028,4684,COL28A1,1.1151967,0.29193532
3125,4685,COX7A2L,1.1146848,0.2920459
14064,4686,SPPL2C,1.1142776,0.29213387
697,4687,AOAH,1.114063,0.29218024
13132,4688,SFMBT1,1.1125573,0.2925059
5240,4689,FOXN3,1.1120527,0.29261515
9333,4690,NEUROG1,1.1112258,0.29279426
8993,4691,MYBPC2,1.1109744,0.29284874
10265,4692,OSGIN2,1.110864,0.29287267
8405,4693,MDH1,1.1106472,0.29291967
15238,4694,TMPRSS2,1.110192,0.2930184
3899,4695,DLGAP5,1.1101445,0.2930287
14345,4696,STXBP5L,1.1100967,0.29303908
3634,4697,DCLK3,1.1099079,0.29308003
7706,4698,LCN12,1.1091763,0.29323885
16300,4699,WDR31,1.1090014,0.29327682
16608,4700,ZDHHC17,1.1086674,0.29334936
8774,4701,MRPL23,1.1085793,0.29336852
359,4702,AGBL2,1.1085587,0.293373
772,4703,APOC4-APOC2,1.1075196,0.29359883
7098,4704,KBTBD12,1.1074054,0.2936237
10664,4705,PDRG1,1.1069803,0.29371616
7942,4706,LRP11,1.1068542,0.2937436
9964,4707,OR2B11,1.1067902,0.29375753
415,4708,AJAP1,1.1067834,0.29375902
12148,4709,RBP1,1.1064874,0.29382342
9781,4710,OAS1,1.1063157,0.2938608
14570,4711,TAS2R31,1.1062826,0.29386804
3768,4712,DEFB4B,1.1060857,0.2939109
3411,4713,CUL2,1.1058297,0.29396665
14315,4714,STRC,1.1053602,0.29406896
7953,4715,LRPAP1,1.1053406,0.29407322
9371,4716,NFYC,1.1048484,0.2941805
9950,4717,OR2A1,1.1044253,0.29427278
3081,4718,COPS7B,1.1043143,0.29429698
8300,4719,MARCKS,1.1043133,0.29429722
1442,4720,BOK,1.1038178,0.2944053
3442,4721,CXCL3,1.1030806,0.29456624
12618,4722,RPS15,1.1030163,0.2945803
7778,4723,LGMN,1.1029323,0.29459864
6298,4724,HLA-B,1.102181,0.29476282
3366,4725,CTH,1.1021754,0.29476404
10069,4726,OR51B5,1.1020335,0.29479507
15426,4727,TPTE,1.1018217,0.29484138
16609,4728,ZDHHC18,1.1015267,0.29490587
14331,4729,STX1A,1.1014924,0.29491338
2801,4730,CLCN4,1.1009835,0.29502472
8044,4731,LSM1,1.1009741,0.29502678
1381,4732,BHLHE23,1.1004817,0.29513454
9167,4733,NBL1,1.1003652,0.29516006
954,4734,ARNT2,1.1001655,0.2952038
16509,4735,ZADH2,1.0999789,0.29524466
2287,4736,CD1C,1.0988408,0.29549408
9263,4737,NDUFB6,1.0981352,0.29564887
5791,4738,GON4L,1.0979666,0.2956859
2150,4739,CCDC61,1.0978742,0.29570615
13691,4740,SLCO4C1,1.097667,0.29575163
13068,4741,SERPINA6,1.097104,0.29587525
2846,4742,CLEC2B,1.096976,0.29590335
8441,4743,MED26,1.0965738,0.29599172
14567,4744,TAS2R20,1.0963148,0.29604867
9820,4745,OGN,1.0960782,0.29610068
12931,4746,SCPEP1,1.095595,0.29620695
467,4747,ALDH18A1,1.0948234,0.29637673
1033,4748,ASMTL,1.0938165,0.29659846
5021,4749,FCRL2,1.0935354,0.29666042
6413,4750,HOXC13,1.093072,0.29676256
371,4751,AGPAT1,1.092279,0.2969375
12251,4752,RFT1,1.0918328,0.297036
6350,4753,HMX2,1.0918173,0.2970394
1116,4754,ATP1A1,1.0913852,0.2971348
4878,4755,FAM90A10P,1.0910021,0.29721943
15960,4756,UGT1A7,1.0908931,0.2972435
839,4757,ARHGAP18,1.0905687,0.2973152
8741,4758,MRAP2,1.090481,0.29733458
4339,4759,EIF2D,1.0904045,0.29735148
15892,4760,UBE4A,1.0900973,0.2974194
4848,4761,FAM71B,1.0897822,0.29748908
10075,4762,OR51F2,1.0897686,0.2974921
16595,4763,ZCCHC8,1.0893701,0.29758027
