Index,position,attribute,projections,classifiers,nodes,RI
6343,10365,HMGXB4,93,0.012903226,0.012903226,0.00046816922
5732,10366,GNB2,101,0.007920792,0.007920792,0.00046806416
16461,10367,XYLB,100,0.012,0.012,0.0004679901
14483,10368,SYTL5,120,0.011666667,0.011666667,0.00046795522
9364,10369,NFRKB,91,0.015384615,0.015384615,0.00046783424
16887,10370,ZNF418,101,0.0118811885,0.0118811885,0.0004677132
13103,10371,SESTD1,97,0.012371134,0.012371134,0.00046769576
3833,10372,DHRS4L2,96,0.014583333,0.014583333,0.00046768133
1270,10373,BANF1,115,0.012173913,0.012173913,0.0004676439
5314,10374,FTSJ1,103,0.013592233,0.013592233,0.0004675619
244,10375,ADAM9,90,0.013333334,0.013333334,0.00046750563
3389,10376,CTSD,94,0.010638298,0.010638298,0.0004673406
3951,10377,DNAI2,87,0.013793103,0.013793103,0.0004673118
8661,10378,MN1,93,0.012903226,0.012903226,0.00046724713
3514,10379,CYP2D6,88,0.01590909,0.01590909,0.00046718417
5725,10380,GNAS,105,0.011428571,0.013333334,0.00046716025
4912,10381,FASTKD2,110,0.010909091,0.010909091,0.00046706828
13725,10382,SMAD5,88,0.013636364,0.013636364,0.00046706732
16313,10383,WDR48,85,0.014117647,0.014117647,0.00046706546
2082,10384,CCDC112,115,0.012173913,0.012173913,0.00046703365
13442,10385,SLC25A24,90,0.011111111,0.011111111,0.00046686694
8843,10386,MS4A15,93,0.015053763,0.015053763,0.00046683787
9751,10387,NUP62CL,102,0.011764706,0.01372549,0.00046678807
3043,10388,COL6A5,89,0.011235955,0.011235955,0.00046664078
8786,10389,MRPL38,85,0.009411764,0.011764706,0.00046662934
8887,10390,MT1M,98,0.014285714,0.014285714,0.00046656598
7903,10391,LPAR2,93,0.008602151,0.008602151,0.000466528
16067,10392,USP21,93,0.012903226,0.012903226,0.00046646057
16767,10393,ZNF213,108,0.0129629625,0.0129629625,0.0004662989
5557,10394,GFER,95,0.012631579,0.012631579,0.00046624444
14459,10395,SYPL2,90,0.013333334,0.013333334,0.00046612977
14390,10396,SUPT6H,105,0.00952381,0.00952381,0.0004661112
990,10397,ARVCF,90,0.013333334,0.013333334,0.0004659616
11088,10398,PLXNA3,122,0.011475409,0.013114754,0.00046588387
3792,10399,DERL1,113,0.010619469,0.010619469,0.0004657987
9674,10400,NT5E,115,0.010434783,0.010434783,0.00046579077
1934,10401,CALN1,111,0.016216217,0.016216217,0.00046575692
3015,10402,COL16A1,103,0.011650485,0.011650485,0.00046557855
783,10403,APOLD1,96,0.0125,0.0125,0.0004654503
15194,10404,TMEM69,103,0.011650485,0.011650485,0.0004653384
6335,10405,HMGCS1,108,0.016666668,0.016666668,0.00046530267
15279,10406,TNFRSF14,105,0.013333334,0.013333334,0.0004652436
11628,10407,PRX,107,0.013084112,0.013084112,0.0004649398
4058,10408,DPH3,88,0.013636364,0.013636364,0.0004648882
16296,10409,WDR25,114,0.010526316,0.010526316,0.00046481894
977,10410,ARSD,89,0.011235955,0.011235955,0.00046469207
7376,10411,KLHL10,81,0.012345679,0.012345679,0.00046457897
2594,10412,CERS2,105,0.011428571,0.011428571,0.00046446145
5371,10413,GAB2,105,0.00952381,0.00952381,0.0004643481
17255,10414,ZWILCH,98,0.012244898,0.012244898,0.00046434457
7280,10415,KIAA1755,104,0.011538462,0.011538462,0.0004640485
7338,10416,KISS1,114,0.007017544,0.007017544,0.00046391357
2768,10417,CISD2,93,0.008602151,0.008602151,0.00046389425
9081,10418,MYSM1,107,0.011214953,0.011214953,0.00046387617
9308,10419,NEK6,105,0.011428571,0.011428571,0.0004638596
13127,10420,SF3B2,84,0.011904762,0.011904762,0.00046380793
7455,10421,KRBA2,118,0.013559322,0.013559322,0.00046379335
12466,10422,RNF207,92,0.013043478,0.013043478,0.00046376104
16272,10423,WASF1,109,0.012844036,0.012844036,0.00046375103
16479,10424,YIPF4,87,0.011494253,0.011494253,0.0004637038
507,10425,ALKBH4,108,0.014814815,0.014814815,0.00046364244
6822,10426,IMPA1,98,0.014285714,0.014285714,0.0004636347
15122,10427,TMEM204,95,0.010526316,0.010526316,0.00046357294
6560,10428,HTRA3,99,0.014141414,0.014141414,0.00046355
5808,10429,GPAA1,103,0.011650485,0.011650485,0.0004635051
11212,10430,POM121C,96,0.014583333,0.014583333,0.00046346293
11145,10431,POC1B,103,0.015533981,0.015533981,0.000463397
11524,10432,PROCA1,105,0.013333334,0.013333334,0.0004631809
6276,10433,HILPDA,107,0.013084112,0.013084112,0.00046317378
1766,10434,C3orf33,94,0.0148936175,0.0148936175,0.00046299666
16864,10435,ZNF37A,121,0.009917355,0.009917355,0.0004629485
15361,10436,TOPORS,99,0.014141414,0.014141414,0.00046291822
12290,10437,RGS19,95,0.012631579,0.012631579,0.00046285702
4206,10438,EAF1,91,0.008791209,0.008791209,0.00046274898
15740,10439,TTLL7,133,0.010526316,0.010526316,0.0004625687
3033,10440,COL4A3,108,0.0129629625,0.0129629625,0.0004625072
12442,10441,RNF149,106,0.011320755,0.011320755,0.00046250664
2369,10442,CDC16,101,0.0118811885,0.0118811885,0.00046250655
9813,10443,OGDH,112,0.008928572,0.008928572,0.00046250643
12289,10444,RGS18,87,0.013793103,0.013793103,0.00046223286
11194,10445,POLR2J,109,0.011009174,0.011009174,0.00046213763
16202,10446,VPS11,115,0.010434783,0.010434783,0.00046209528
875,10447,ARHGEF15,88,0.011363637,0.011363637,0.0004619135
5429,10448,GALK1,100,0.016,0.016,0.00046185948
2951,10449,CNN2,117,0.010256411,0.010256411,0.00046174115
15984,10450,ULBP3,117,0.013675214,0.013675214,0.00046170666
14002,10451,SPDYE1,100,0.01,0.01,0.00046164237
15612,10452,TSC22D1,103,0.017475728,0.017475728,0.00046161047
13218,10453,SHANK3,112,0.01607143,0.01607143,0.00046155712
7002,10454,ITGB7,115,0.012173913,0.013913044,0.00046153826
10642,10455,PDIA2,110,0.010909091,0.010909091,0.00046130727
8665,10456,MNS1,86,0.011627907,0.011627907,0.00046121105
12968,10457,SDR42E1,105,0.013333334,0.013333334,0.00046119632
2460,10458,CDK6,116,0.010344828,0.010344828,0.00046114455
11204,10459,POLR3E,98,0.010204081,0.010204081,0.00046098666
4459,10460,ENOX2,104,0.011538462,0.011538462,0.00046070866
11868,10461,QTRT1,82,0.009756098,0.009756098,0.00046051794
10239,10462,ORC4,91,0.010989011,0.010989011,0.000460487
16532,10463,ZBTB25,105,0.00952381,0.00952381,0.00046026648
6594,10464,ID3,113,0.0123893805,0.0123893805,0.0004601278
14692,10465,TCF7,90,0.011111111,0.011111111,0.0004600784
2969,10466,CNPY2,92,0.013043478,0.013043478,0.00046003202
15130,10467,TMEM214,92,0.008695652,0.008695652,0.00046002024
3418,10468,CUTA,100,0.012,0.012,0.00045981235
9102,10469,NAA30,91,0.010989011,0.010989011,0.00045975982
14414,10470,SWI5,120,0.011666667,0.011666667,0.00045959532
6598,10471,IDH2,95,0.010526316,0.010526316,0.00045938135
10470,10472,PBRM1,82,0.009756098,0.009756098,0.0004593557
11269,10473,PPAT,105,0.013333334,0.013333334,0.00045934194
71,10474,ABHD1,103,0.011650485,0.011650485,0.0004592896
5255,10475,FOXS1,98,0.012244898,0.012244898,0.00045913982
2030,10476,CATSPER2,96,0.0125,0.0125,0.00045912465
4177,10477,DYNC1LI2,94,0.0148936175,0.0148936175,0.00045905676
13931,10478,SP3,92,0.013043478,0.013043478,0.0004587114
6167,10479,HCFC2,87,0.011494253,0.011494253,0.0004585878
5364,10480,G3BP2,99,0.008080808,0.008080808,0.00045852124
7912,10481,LPGAT1,109,0.014678899,0.014678899,0.00045847727
12731,10482,RTTN,106,0.011320755,0.011320755,0.00045844118
14476,10483,SYT7,78,0.012820513,0.012820513,0.00045842314
1338,10484,BCL7C,107,0.011214953,0.011214953,0.0004583906
285,10485,ADCY4,119,0.013445378,0.013445378,0.00045837124
4730,10486,FAM120A,96,0.0125,0.0125,0.0004583346
7320,10487,KIF5B,99,0.014141414,0.014141414,0.00045832817
13229,10488,SHE,81,0.014814815,0.014814815,0.00045831234
8724,10489,MPP5,114,0.014035088,0.015789473,0.00045807476
5573,10490,GGA3,87,0.011494253,0.011494253,0.0004580506
6477,10491,HSD17B1,107,0.011214953,0.011214953,0.00045804464
1359,10492,BEND5,120,0.013333334,0.013333334,0.00045797287
