activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(25,5)",0.0001,0.898,0.958,0.838,0.904,0.802,0.898,0.758,0.6,0.8,0.508,0.362,0.7,0.774,0.636,0.81,0.538,0.401,0.723
relu,"(50,10)",0.1,0.895,0.964,0.825,0.902,0.799,0.895,0.808,0.709,0.833,0.601,0.494,0.771,0.849,0.455,0.952,0.556,0.487,0.703
relu,"(50,10)",0.01,0.907,0.946,0.867,0.91,0.817,0.907,0.826,0.455,0.924,0.52,0.425,0.689,0.83,0.364,0.952,0.471,0.404,0.658
relu,"(50,10)",0.001,0.901,0.934,0.867,0.904,0.805,0.901,0.789,0.309,0.914,0.375,0.268,0.612,0.811,0.364,0.929,0.444,0.35,0.646
relu,"(50,10)",0.0001,0.892,0.946,0.837,0.898,0.788,0.892,0.785,0.291,0.914,0.355,0.251,0.603,0.811,0.273,0.952,0.375,0.312,0.613
relu,"(75,15)",0.1,0.88,0.958,0.801,0.89,0.77,0.879,0.774,0.582,0.824,0.518,0.384,0.703,0.868,0.727,0.905,0.696,0.612,0.816
relu,"(75,15)",0.01,0.91,0.946,0.873,0.913,0.821,0.909,0.826,0.509,0.91,0.548,0.446,0.709,0.849,0.545,0.929,0.6,0.512,0.737
relu,"(75,15)",0.001,0.916,0.952,0.879,0.919,0.833,0.916,0.796,0.382,0.905,0.435,0.322,0.643,0.792,0.273,0.929,0.353,0.258,0.601
relu,"(75,15)",0.0001,0.916,0.94,0.891,0.918,0.832,0.916,0.789,0.327,0.91,0.39,0.278,0.618,0.792,0.364,0.905,0.421,0.304,0.634
relu,"(100,20)",0.1,0.859,0.868,0.849,0.858,0.72,0.859,0.811,0.491,0.895,0.512,0.405,0.693,0.811,0.364,0.929,0.444,0.35,0.646
relu,"(100,20)",0.01,0.916,0.958,0.873,0.919,0.834,0.916,0.838,0.527,0.919,0.576,0.483,0.723,0.83,0.364,0.952,0.471,0.404,0.658
relu,"(100,20)",0.001,0.913,0.964,0.861,0.917,0.83,0.913,0.823,0.509,0.905,0.544,0.438,0.707,0.83,0.545,0.905,0.571,0.467,0.725
relu,"(100,20)",0.0001,0.91,0.958,0.861,0.914,0.824,0.91,0.826,0.545,0.9,0.566,0.459,0.723,0.83,0.545,0.905,0.571,0.467,0.725
relu,"(125,25)",0.1,0.864,0.97,0.758,0.88,0.751,0.864,0.743,0.564,0.79,0.47,0.328,0.677,0.736,0.636,0.762,0.5,0.346,0.699
relu,"(125,25)",0.01,0.907,0.952,0.861,0.911,0.817,0.907,0.845,0.564,0.919,0.604,0.513,0.741,0.868,0.545,0.952,0.632,0.564,0.749
relu,"(125,25)",0.001,0.901,0.934,0.867,0.904,0.804,0.901,0.842,0.527,0.924,0.582,0.494,0.726,0.868,0.545,0.952,0.632,0.564,0.749
relu,"(125,25)",0.0001,0.898,0.934,0.861,0.901,0.798,0.898,0.845,0.527,0.929,0.587,0.504,0.728,0.887,0.545,0.976,0.667,0.625,0.761
relu,"(150,30)",0.1,0.723,0.794,0.651,0.654,0.492,0.722,0.664,0.655,0.667,0.386,0.266,0.661,0.792,0.818,0.786,0.621,0.517,0.802
relu,"(150,30)",0.01,0.919,0.958,0.879,0.922,0.84,0.919,0.815,0.491,0.9,0.522,0.415,0.695,0.811,0.455,0.905,0.5,0.388,0.68
relu,"(150,30)",0.001,0.913,0.952,0.873,0.916,0.828,0.912,0.804,0.527,0.876,0.529,0.407,0.702,0.83,0.545,0.905,0.571,0.467,0.725
relu,"(150,30)",0.0001,0.913,0.946,0.879,0.915,0.827,0.912,0.789,0.527,0.857,0.509,0.375,0.692,0.774,0.455,0.857,0.455,0.312,0.656
relu,"(175,35)",0.1,0.879,0.952,0.807,0.887,0.767,0.879,0.815,0.655,0.857,0.595,0.48,0.756,0.906,0.727,0.952,0.762,0.704,0.84
relu,"(175,35)",0.01,0.901,0.928,0.873,0.903,0.802,0.901,0.83,0.545,0.905,0.572,0.47,0.725,0.849,0.545,0.929,0.6,0.512,0.737
relu,"(175,35)",0.001,0.91,0.934,0.885,0.912,0.821,0.91,0.804,0.473,0.89,0.499,0.381,0.682,0.811,0.455,0.905,0.5,0.388,0.68
relu,"(175,35)",0.0001,0.91,0.928,0.891,0.911,0.821,0.91,0.789,0.491,0.867,0.493,0.363,0.679,0.792,0.455,0.881,0.476,0.348,0.668
relu,"(200,40)",0.1,0.895,0.946,0.843,0.9,0.795,0.894,0.792,0.6,0.843,0.548,0.421,0.721,0.755,0.455,0.833,0.435,0.279,0.644
relu,"(200,40)",0.01,0.901,0.94,0.862,0.904,0.805,0.901,0.819,0.509,0.9,0.541,0.432,0.705,0.868,0.455,0.976,0.588,0.551,0.715
relu,"(200,40)",0.001,0.91,0.934,0.886,0.912,0.822,0.91,0.796,0.4,0.9,0.45,0.332,0.65,0.83,0.364,0.952,0.471,0.404,0.658
relu,"(200,40)",0.0001,0.913,0.94,0.886,0.915,0.829,0.913,0.785,0.364,0.895,0.411,0.287,0.629,0.811,0.364,0.929,0.444,0.35,0.646
relu,"(225,45)",0.1,0.864,0.903,0.825,0.869,0.735,0.864,0.785,0.491,0.862,0.484,0.352,0.676,0.792,0.636,0.833,0.56,0.432,0.735
relu,"(225,45)",0.01,0.907,0.952,0.861,0.91,0.818,0.907,0.819,0.545,0.89,0.555,0.444,0.718,0.83,0.364,0.952,0.471,0.404,0.658
relu,"(225,45)",0.001,0.916,0.934,0.898,0.917,0.834,0.916,0.819,0.418,0.924,0.489,0.393,0.671,0.811,0.364,0.929,0.444,0.35,0.646
relu,"(225,45)",0.0001,0.91,0.934,0.886,0.912,0.821,0.91,0.826,0.418,0.933,0.499,0.413,0.676,0.811,0.364,0.929,0.444,0.35,0.646
relu,"(250,50)",0.1,0.892,0.946,0.837,0.897,0.788,0.892,0.792,0.636,0.833,0.56,0.433,0.735,0.83,0.636,0.881,0.609,0.501,0.759
relu,"(250,50)",0.01,0.91,0.946,0.873,0.913,0.822,0.91,0.796,0.491,0.876,0.496,0.372,0.684,0.83,0.455,0.929,0.526,0.434,0.692
relu,"(250,50)",0.001,0.904,0.928,0.88,0.906,0.809,0.904,0.804,0.491,0.886,0.51,0.388,0.688,0.811,0.455,0.905,0.5,0.388,0.68
relu,"(250,50)",0.0001,0.904,0.928,0.88,0.906,0.809,0.904,0.804,0.473,0.89,0.498,0.379,0.682,0.811,0.455,0.905,0.5,0.388,0.68
relu,"(275,55)",0.1,0.892,0.946,0.837,0.897,0.788,0.892,0.785,0.655,0.819,0.559,0.436,0.737,0.83,0.545,0.905,0.571,0.467,0.725
relu,"(275,55)",0.01,0.913,0.952,0.873,0.916,0.828,0.913,0.819,0.473,0.91,0.523,0.422,0.691,0.792,0.364,0.905,0.421,0.304,0.634
relu,"(275,55)",0.001,0.91,0.934,0.886,0.912,0.821,0.91,0.796,0.455,0.886,0.48,0.357,0.67,0.792,0.364,0.905,0.421,0.304,0.634
relu,"(275,55)",0.0001,0.913,0.934,0.892,0.914,0.827,0.913,0.781,0.473,0.862,0.471,0.334,0.667,0.755,0.364,0.857,0.381,0.229,0.61
relu,"(300,60)",0.1,0.889,0.946,0.831,0.895,0.783,0.889,0.804,0.618,0.852,0.565,0.448,0.735,0.811,0.636,0.857,0.583,0.465,0.747
relu,"(300,60)",0.01,0.907,0.946,0.867,0.91,0.817,0.907,0.811,0.455,0.905,0.502,0.394,0.68,0.849,0.364,0.976,0.5,0.471,0.67
relu,"(300,60)",0.001,0.904,0.94,0.868,0.907,0.811,0.904,0.838,0.564,0.91,0.589,0.492,0.737,0.849,0.455,0.952,0.556,0.487,0.703
relu,"(300,60)",0.0001,0.904,0.94,0.868,0.907,0.811,0.904,0.834,0.545,0.91,0.578,0.477,0.727,0.83,0.364,0.952,0.471,0.404,0.658
relu,"(25,12)",0.1,0.898,0.946,0.85,0.902,0.801,0.898,0.781,0.618,0.824,0.537,0.407,0.721,0.811,0.545,0.881,0.545,0.426,0.713
relu,"(25,12)",0.01,0.91,0.952,0.867,0.913,0.823,0.91,0.804,0.527,0.876,0.526,0.403,0.702,0.792,0.455,0.881,0.476,0.348,0.668
relu,"(25,12)",0.001,0.889,0.934,0.843,0.893,0.781,0.889,0.774,0.382,0.876,0.412,0.275,0.629,0.792,0.364,0.905,0.421,0.304,0.634
relu,"(25,12)",0.0001,0.889,0.934,0.843,0.893,0.782,0.889,0.762,0.436,0.848,0.431,0.283,0.642,0.774,0.364,0.881,0.4,0.264,0.622
relu,"(50,25)",0.1,0.87,0.927,0.812,0.878,0.748,0.87,0.777,0.509,0.848,0.48,0.346,0.678,0.811,0.636,0.857,0.583,0.465,0.747
relu,"(50,25)",0.01,0.907,0.958,0.855,0.911,0.818,0.907,0.853,0.527,0.938,0.597,0.52,0.733,0.849,0.455,0.952,0.556,0.487,0.703
relu,"(50,25)",0.001,0.907,0.964,0.849,0.912,0.819,0.907,0.826,0.564,0.895,0.574,0.466,0.729,0.849,0.545,0.929,0.6,0.512,0.737
relu,"(50,25)",0.0001,0.913,0.97,0.855,0.917,0.831,0.913,0.823,0.564,0.89,0.568,0.457,0.727,0.849,0.545,0.929,0.6,0.512,0.737
relu,"(75,37)",0.1,0.907,0.958,0.855,0.913,0.819,0.906,0.808,0.582,0.867,0.558,0.436,0.724,0.811,0.455,0.905,0.5,0.388,0.68
relu,"(75,37)",0.01,0.892,0.934,0.849,0.896,0.786,0.892,0.811,0.509,0.89,0.529,0.413,0.7,0.83,0.455,0.929,0.526,0.434,0.692
relu,"(75,37)",0.001,0.916,0.94,0.892,0.918,0.833,0.916,0.811,0.473,0.9,0.51,0.398,0.686,0.868,0.545,0.952,0.632,0.564,0.749
relu,"(75,37)",0.0001,0.907,0.94,0.873,0.91,0.815,0.907,0.815,0.491,0.9,0.524,0.413,0.695,0.868,0.545,0.952,0.632,0.564,0.749
relu,"(100,50)",0.1,0.898,0.946,0.849,0.902,0.8,0.897,0.808,0.491,0.89,0.51,0.396,0.691,0.849,0.455,0.952,0.556,0.487,0.703
relu,"(100,50)",0.01,0.901,0.946,0.855,0.905,0.805,0.901,0.834,0.564,0.905,0.585,0.484,0.734,0.868,0.545,0.952,0.632,0.564,0.749
relu,"(100,50)",0.001,0.904,0.934,0.873,0.906,0.809,0.904,0.849,0.564,0.924,0.607,0.518,0.744,0.849,0.455,0.952,0.556,0.487,0.703
relu,"(100,50)",0.0001,0.904,0.928,0.88,0.905,0.81,0.904,0.842,0.545,0.919,0.589,0.494,0.732,0.868,0.545,0.952,0.632,0.564,0.749
relu,"(125,62)",0.1,0.919,0.97,0.868,0.923,0.842,0.919,0.789,0.527,0.857,0.506,0.374,0.692,0.868,0.545,0.952,0.632,0.564,0.749
relu,"(125,62)",0.01,0.913,0.958,0.868,0.917,0.829,0.913,0.838,0.509,0.924,0.566,0.48,0.716,0.849,0.455,0.952,0.556,0.487,0.703
relu,"(125,62)",0.001,0.901,0.934,0.868,0.904,0.804,0.901,0.804,0.345,0.924,0.423,0.328,0.635,0.811,0.364,0.929,0.444,0.35,0.646
relu,"(125,62)",0.0001,0.898,0.934,0.861,0.901,0.798,0.898,0.804,0.364,0.919,0.435,0.338,0.641,0.792,0.273,0.929,0.353,0.258,0.601
relu,"(150,75)",0.1,0.904,0.958,0.849,0.909,0.812,0.904,0.781,0.545,0.843,0.51,0.375,0.694,0.792,0.636,0.833,0.56,0.432,0.735
relu,"(150,75)",0.01,0.904,0.952,0.855,0.908,0.811,0.904,0.808,0.509,0.886,0.523,0.406,0.697,0.868,0.455,0.976,0.588,0.551,0.715
relu,"(150,75)",0.001,0.901,0.934,0.867,0.904,0.803,0.901,0.789,0.455,0.876,0.47,0.34,0.665,0.755,0.364,0.857,0.381,0.229,0.61
relu,"(150,75)",0.0001,0.898,0.928,0.867,0.901,0.797,0.898,0.796,0.455,0.886,0.479,0.356,0.67,0.774,0.455,0.857,0.455,0.312,0.656
relu,"(175,87)",0.1,0.885,0.928,0.843,0.89,0.774,0.886,0.804,0.509,0.881,0.517,0.398,0.695,0.792,0.545,0.857,0.522,0.39,0.701
relu,"(175,87)",0.01,0.898,0.94,0.855,0.902,0.799,0.898,0.826,0.582,0.89,0.582,0.475,0.736,0.849,0.545,0.929,0.6,0.512,0.737
relu,"(175,87)",0.001,0.907,0.928,0.885,0.909,0.814,0.907,0.849,0.564,0.924,0.607,0.518,0.744,0.887,0.545,0.976,0.667,0.625,0.761
relu,"(175,87)",0.0001,0.904,0.928,0.879,0.906,0.809,0.904,0.849,0.527,0.933,0.593,0.509,0.73,0.868,0.455,0.976,0.588,0.551,0.715
relu,"(200,100)",0.1,0.876,0.97,0.783,0.887,0.767,0.877,0.785,0.582,0.838,0.528,0.395,0.71,0.792,0.545,0.857,0.522,0.39,0.701
relu,"(200,100)",0.01,0.916,0.958,0.873,0.919,0.834,0.916,0.823,0.545,0.895,0.554,0.451,0.72,0.811,0.545,0.881,0.545,0.426,0.713
relu,"(200,100)",0.001,0.91,0.94,0.879,0.913,0.822,0.91,0.808,0.455,0.9,0.497,0.385,0.677,0.811,0.455,0.905,0.5,0.388,0.68
relu,"(200,100)",0.0001,0.91,0.94,0.879,0.913,0.821,0.91,0.811,0.509,0.89,0.528,0.412,0.7,0.811,0.455,0.905,0.5,0.388,0.68
relu,"(225,112)",0.1,0.88,0.94,0.819,0.887,0.765,0.88,0.792,0.6,0.843,0.545,0.417,0.721,0.83,0.636,0.881,0.609,0.501,0.759
relu,"(225,112)",0.01,0.882,0.934,0.831,0.888,0.77,0.883,0.83,0.473,0.924,0.535,0.444,0.698,0.868,0.455,0.976,0.588,0.551,0.715
relu,"(225,112)",0.001,0.907,0.946,0.868,0.91,0.817,0.907,0.823,0.436,0.924,0.505,0.408,0.68,0.811,0.364,0.929,0.444,0.35,0.646
relu,"(225,112)",0.0001,0.91,0.952,0.867,0.913,0.823,0.91,0.815,0.418,0.919,0.484,0.382,0.669,0.811,0.364,0.929,0.444,0.35,0.646
relu,"(250,125)",0.1,0.889,0.97,0.807,0.898,0.788,0.889,0.789,0.618,0.833,0.55,0.42,0.726,0.792,0.545,0.857,0.522,0.39,0.701
relu,"(250,125)",0.01,0.898,0.94,0.855,0.901,0.798,0.898,0.808,0.436,0.905,0.483,0.374,0.671,0.792,0.636,0.833,0.56,0.432,0.735
relu,"(250,125)",0.001,0.91,0.946,0.873,0.913,0.822,0.91,0.815,0.455,0.91,0.506,0.398,0.682,0.83,0.455,0.929,0.526,0.434,0.692
relu,"(250,125)",0.0001,0.913,0.952,0.873,0.916,0.828,0.913,0.819,0.473,0.91,0.521,0.414,0.691,0.83,0.455,0.929,0.526,0.434,0.692
relu,"(275,137)",0.1,0.892,0.952,0.831,0.898,0.79,0.892,0.826,0.673,0.867,0.616,0.516,0.77,0.849,0.545,0.929,0.6,0.512,0.737
relu,"(275,137)",0.01,0.907,0.946,0.868,0.91,0.817,0.907,0.823,0.527,0.9,0.555,0.453,0.714,0.792,0.364,0.905,0.421,0.304,0.634
relu,"(275,137)",0.001,0.907,0.94,0.874,0.91,0.816,0.907,0.826,0.436,0.929,0.512,0.425,0.682,0.849,0.455,0.952,0.556,0.487,0.703
relu,"(275,137)",0.0001,0.907,0.94,0.874,0.91,0.816,0.907,0.849,0.527,0.933,0.595,0.514,0.73,0.849,0.455,0.952,0.556,0.487,0.703
relu,"(300,150)",0.1,0.892,0.946,0.838,0.897,0.79,0.892,0.755,0.418,0.843,0.411,0.261,0.631,0.83,0.636,0.881,0.609,0.501,0.759
relu,"(300,150)",0.01,0.91,0.958,0.861,0.914,0.823,0.91,0.8,0.491,0.881,0.505,0.381,0.686,0.849,0.455,0.952,0.556,0.487,0.703
relu,"(300,150)",0.001,0.916,0.952,0.88,0.919,0.834,0.916,0.823,0.527,0.9,0.552,0.445,0.714,0.849,0.545,0.929,0.6,0.512,0.737
relu,"(300,150)",0.0001,0.919,0.946,0.892,0.921,0.839,0.919,0.826,0.527,0.905,0.558,0.455,0.716,0.83,0.455,0.929,0.526,0.434,0.692
relu,"(25,25)",0.1,0.895,0.964,0.825,0.902,0.797,0.894,0.777,0.509,0.848,0.484,0.358,0.678,0.811,0.455,0.905,0.5,0.388,0.68
relu,"(25,25)",0.01,0.91,0.94,0.879,0.912,0.821,0.91,0.811,0.509,0.89,0.523,0.408,0.7,0.868,0.545,0.952,0.632,0.564,0.749
relu,"(25,25)",0.001,0.904,0.934,0.874,0.906,0.81,0.904,0.804,0.636,0.848,0.575,0.453,0.742,0.811,0.636,0.857,0.583,0.465,0.747
relu,"(25,25)",0.0001,0.898,0.922,0.874,0.9,0.797,0.898,0.808,0.673,0.843,0.591,0.476,0.758,0.849,0.727,0.881,0.667,0.573,0.804
relu,"(50,50)",0.1,0.858,0.952,0.765,0.871,0.73,0.858,0.789,0.709,0.81,0.571,0.464,0.759,0.755,0.455,0.833,0.435,0.279,0.644
relu,"(50,50)",0.01,0.913,0.952,0.873,0.916,0.829,0.913,0.857,0.582,0.929,0.628,0.547,0.755,0.83,0.455,0.929,0.526,0.434,0.692
relu,"(50,50)",0.001,0.916,0.94,0.891,0.918,0.832,0.916,0.872,0.636,0.933,0.675,0.6,0.785,0.887,0.727,0.929,0.727,0.656,0.828
relu,"(50,50)",0.0001,0.916,0.94,0.891,0.917,0.832,0.916,0.883,0.655,0.943,0.698,0.633,0.799,0.887,0.636,0.952,0.7,0.636,0.794
relu,"(75,75)",0.1,0.91,0.952,0.868,0.914,0.823,0.91,0.796,0.564,0.857,0.53,0.405,0.71,0.774,0.545,0.833,0.5,0.357,0.689
relu,"(75,75)",0.01,0.895,0.928,0.861,0.898,0.792,0.895,0.815,0.564,0.881,0.563,0.449,0.722,0.83,0.455,0.929,0.526,0.434,0.692
relu,"(75,75)",0.001,0.907,0.934,0.879,0.909,0.816,0.907,0.849,0.582,0.919,0.615,0.523,0.75,0.849,0.545,0.929,0.6,0.512,0.737
relu,"(75,75)",0.0001,0.907,0.94,0.873,0.909,0.816,0.907,0.86,0.618,0.924,0.648,0.563,0.771,0.849,0.545,0.929,0.6,0.512,0.737
relu,"(100,100)",0.1,0.76,0.703,0.819,0.663,0.541,0.761,0.758,0.436,0.843,0.375,0.258,0.64,0.83,0.545,0.905,0.571,0.467,0.725
